,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"4,85,70,43,500","5,21,43,01,100","4,18,21,43,700","3,49,47,92,000"
Cost of revenue,"4,30,46,62,000","4,57,90,19,000","3,50,26,89,000","2,86,42,95,400"
Gross profit,"55,23,81,500","63,52,82,100","67,94,54,700","63,04,96,600"
Selling general and administrative,-,"14,39,81,000","13,35,05,600","12,52,27,700"
Total operating expenses,"31,80,73,800","34,73,12,500","33,66,68,000","35,14,66,200"
Operating income or loss,"23,43,07,700","28,79,69,600","34,27,86,700","27,90,30,400"
Interest expense,"5,05,64,800","4,01,19,700","3,49,53,000","3,54,55,700"
Income before tax,"19,16,00,500","25,92,69,000","34,45,02,200","27,95,58,000"
Income tax expense,"6,46,68,700","8,65,30,500","11,82,38,700","7,57,04,000"
Income from continuing operations,"12,69,31,800","17,27,38,500","22,62,63,500","20,38,54,000"
Net income,"12,89,42,900","17,37,67,000","22,18,94,500","19,84,94,900"
Net income available to common shareholders,"12,89,42,900","17,37,67,000","22,18,94,500","19,84,94,900"
Basic EPS,-,18.41,23.41,20.94
Diluted EPS,-,18.41,23.41,20.94
Basic average shares,-,"94,41,179","94,78,691","94,78,691"
Diluted average shares,-,"94,41,179","94,78,691","94,78,691"
EBITDA,-,"38,44,62,500","45,61,33,900","38,34,99,900"
