,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,73.43,73.43,72.25,72.43,25.79,"18,73,344"
08-Apr-2010,73.50,73.97,72.63,72.89,25.96,"17,37,208"
07-Apr-2010,73.25,74.00,73.06,73.36,26.12,"16,23,912"
06-Apr-2010,73.63,74.55,73.14,73.34,26.12,"49,11,132"
05-Apr-2010,75.00,75.47,73.00,73.53,26.18,"21,69,752"
01-Apr-2010,77.49,77.49,74.10,74.61,26.57,"5,69,500"
31-Mar-2010,74.55,75.50,73.75,73.94,26.33,"23,09,000"
30-Mar-2010,75.54,76.25,74.53,74.95,26.69,"18,18,464"
29-Mar-2010,73.81,76.25,73.81,75.54,26.90,"22,29,716"
26-Mar-2010,74.70,74.70,73.50,73.94,26.33,"28,14,660"
25-Mar-2010,75.25,75.36,72.80,73.41,26.14,"33,53,948"
23-Mar-2010,75.00,75.63,74.51,74.79,26.63,"11,72,688"
22-Mar-2010,74.75,75.75,74.75,74.90,26.67,"9,64,324"
19-Mar-2010,74.55,76.10,74.55,75.40,26.85,"14,63,288"
18-Mar-2010,75.75,75.75,74.78,75.04,26.72,"16,40,740"
17-Mar-2010,75.72,76.13,75.15,75.46,26.87,"27,93,564"
16-Mar-2010,76.11,76.25,74.50,75.55,26.90,"22,14,256"
15-Mar-2010,76.00,76.20,73.75,74.34,26.47,"18,35,536"
12-Mar-2010,76.25,76.38,75.53,75.94,27.04,"12,67,004"
11-Mar-2010,76.75,77.25,75.39,76.07,27.09,"22,58,628"
10-Mar-2010,75.90,76.72,75.64,76.45,27.22,"16,72,048"
09-Mar-2010,77.15,77.38,76.04,76.35,27.19,"18,80,432"
08-Mar-2010,77.49,77.66,76.53,76.91,27.39,"22,80,624"
05-Mar-2010,76.50,77.00,76.25,76.70,27.31,"30,19,152"
04-Mar-2010,77.72,77.86,75.81,76.07,27.09,"59,93,360"
03-Mar-2010,78.75,78.85,76.86,77.03,27.43,"39,69,924"
02-Mar-2010,79.00,80.43,77.55,77.96,27.76,"22,08,096"
26-Feb-2010,80.63,83.61,78.75,79.35,28.26,"1,11,89,844"
25-Feb-2010,80.78,81.47,79.95,80.47,28.66,"24,15,268"
24-Feb-2010,79.60,81.31,78.80,80.55,28.68,"19,09,304"
23-Feb-2010,82.46,82.59,80.28,80.63,28.71,"29,13,700"
22-Feb-2010,80.43,82.20,79.68,81.57,29.05,"48,77,780"
19-Feb-2010,79.22,81.10,78.39,80.43,28.64,"30,91,312"
18-Feb-2010,78.22,81.65,77.25,79.32,28.25,"49,29,560"
17-Feb-2010,77.53,78.60,76.90,78.04,27.79,"10,12,344"
16-Feb-2010,76.96,77.50,76.30,77.34,27.54,"8,07,692"
15-Feb-2010,77.04,78.35,76.29,76.50,27.24,"14,68,136"
11-Feb-2010,79.97,79.97,78.03,78.35,27.90,"17,26,052"
10-Feb-2010,78.13,79.61,77.82,78.97,28.12,"24,84,620"
09-Feb-2010,77.63,78.00,76.76,77.51,27.60,"16,09,040"
08-Feb-2010,79.25,79.65,77.00,77.43,27.57,"17,19,080"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,75.39,78.97,75.39,77.03,27.43,"20,78,548"
04-Feb-2010,83.00,83.00,78.96,79.20,28.20,"34,99,188"
03-Feb-2010,80.00,80.50,78.28,78.96,28.12,"28,50,280"
02-Feb-2010,79.88,81.25,77.54,79.40,28.27,"36,17,308"
01-Feb-2010,75.50,79.46,74.50,78.79,28.06,"40,54,476"
29-Jan-2010,75.00,76.40,73.76,75.34,26.83,"27,90,888"
28-Jan-2010,76.75,77.10,74.75,75.24,26.79,"38,50,080"
27-Jan-2010,76.63,76.71,75.25,75.91,27.03,"17,65,612"
25-Jan-2010,77.75,77.75,75.63,76.63,27.29,"21,19,432"
22-Jan-2010,77.50,79.00,76.39,77.11,27.46,"23,49,980"
21-Jan-2010,78.03,79.28,77.78,78.39,27.91,"19,91,876"
20-Jan-2010,80.68,80.68,77.75,78.07,27.80,"27,32,084"
19-Jan-2010,81.49,83.61,79.04,79.54,28.32,"56,52,172"
18-Jan-2010,81.28,82.00,80.65,81.54,29.04,"10,78,068"
15-Jan-2010,81.53,82.22,80.55,81.09,28.88,"14,38,192"
14-Jan-2010,81.50,82.85,81.25,81.46,29.01,"41,16,296"
13-Jan-2010,79.69,82.03,78.90,80.93,28.82,"37,88,644"
12-Jan-2010,81.28,82.11,78.90,79.49,28.31,"20,71,612"
11-Jan-2010,78.81,80.50,78.81,79.71,28.39,"25,54,604"
08-Jan-2010,78.75,79.60,77.78,78.94,28.11,"19,74,228"
07-Jan-2010,78.29,78.75,76.88,77.61,27.64,"15,29,632"
06-Jan-2010,78.96,79.47,77.51,78.85,28.08,"25,34,660"
05-Jan-2010,78.76,79.50,78.30,78.96,28.12,"20,21,632"
04-Jan-2010,76.75,78.95,76.64,78.66,28.01,"33,59,224"
19-Jul-2010,93.40,95.50,93.40,94.28,33.57,"25,76,700"
16-Jul-2010,93.78,95.49,92.61,94.54,33.66,"65,94,180"
15-Jul-2010,97.78,97.78,93.06,93.61,33.34,"1,00,54,288"
14-Jul-2010,99.22,99.25,97.01,97.31,34.65,"76,15,360"
13-Jul-2010,98.25,99.43,97.82,98.38,35.03,"61,40,908"
12-Jul-2010,100.97,101.00,97.76,98.00,34.90,"55,58,480"
09-Jul-2010,99.39,101.59,99.39,100.16,35.67,"1,00,00,020"
08-Jul-2010,98.70,100.45,97.65,99.13,35.30,"1,11,80,220"
07-Jul-2010,99.00,99.60,96.75,97.13,34.59,"49,29,168"
06-Jul-2010,99.97,100.47,98.26,98.63,35.12,"58,38,592"
05-Jul-2010,100.50,100.75,98.91,99.70,35.50,"60,64,348"
02-Jul-2010,100.50,102.25,99.81,100.32,35.73,"1,35,93,320"
01-Jul-2010,100.75,101.93,99.22,100.00,35.61,"2,19,39,768"
30-Jun-2010,98.25,101.97,97.50,100.78,35.89,"3,90,73,628"
29-Jun-2010,102.25,102.25,97.04,98.34,35.02,"2,29,31,064"
28-Jun-2010,95.00,104.38,92.50,99.40,35.40,"6,33,07,428"
25-Jun-2010,85.95,97.68,84.25,94.49,33.65,"4,16,24,844"
24-Jun-2010,87.66,87.95,84.54,85.35,30.39,"38,46,544"
23-Jun-2010,87.46,88.45,86.78,87.07,31.01,"27,86,480"
22-Jun-2010,81.54,87.45,81.54,86.59,30.83,"57,96,148"
21-Jun-2010,84.75,84.75,83.14,83.61,29.77,"13,20,764"
18-Jun-2010,85.22,86.10,83.25,83.59,29.77,"20,87,008"
17-Jun-2010,83.50,84.50,82.51,84.31,30.02,"17,74,620"
16-Jun-2010,82.55,84.00,81.25,83.40,29.70,"46,23,076"
