Insider,Insider Type,Type,Date,Shares
President of India,Promoter,Direct,14-Mar-2014,"242,795,248"
Tamboli (Piyush Indulal),UNREPORTED,Direct,24-Aug-2015,"97,000"
Bhardwaj (Archana),General Manager,Direct,28-Apr-2015,"2,000"
Ghosh (Partha),General Manager,Direct,28-Apr-2015,20
Sahay (Sanjay),General Manager,Direct,28-Apr-2015,"4,000"
Goel (Sushma),UNREPORTED,Direct,13-Apr-2015,130
Goel (Umesh),Divisional Officer,Direct,13-Apr-2015,"2,450"
Sunder (S),Divisional Officer,Direct,13-Apr-2015,"1,400"
Asthana (Aparna),Divisional Officer,Direct,20-Mar-2015,450
Augusthy (Francis),Divisional Officer,Direct,20-Mar-2015,220
Francis (Philomina),UNREPORTED,Direct,20-Mar-2015,400
Ganguly (S),Divisional Officer,Direct,20-Mar-2015,"1,800"
Goyal (Kapil Kumar),Divisional Officer,Direct,20-Mar-2015,"2,500"
Gupta (A K),Divisional Officer,Direct,20-Mar-2015,"3,600"
Kuamr (Rajendra),Divisional Officer,Direct,20-Mar-2015,550
Nayak (Subrat),Divisional Officer,Direct,20-Mar-2015,700
Pathak (Ajit),Divisional Officer,Direct,20-Mar-2015,900
Sarkar (Tridib),Divisional Officer,Direct,20-Mar-2015,"3,490"
Sasidhar (V M),Divisional Officer,Direct,20-Mar-2015,"3,600"
Saxena (Deepak),Divisional Officer,Direct,20-Mar-2015,"1,000"
Saxena (Seema),UNREPORTED,Direct,20-Mar-2015,25
Sekar (S),Divisional Officer,Direct,20-Mar-2015,"2,000"
Verma (Ajay V),Divisional Officer,Direct,20-Mar-2015,"3,200"
G K (Acharya),Divisional Officer,Direct,09-Feb-2015,100
Prasad (Nita),UNREPORTED,Direct,26-Nov-2014,40
Prasad (Suniti Bhushan),General Manager,Direct,26-Nov-2014,30
Sachdev (Harsh),General Manager,Direct,26-Nov-2014,"1,200"
Sachdev (Sangeeta),UNREPORTED,Direct,26-Nov-2014,44
Mishra (KS),UNREPORTED,Direct,12-Sep-2014,"1,400"
Mishra (Pushpa),UNREPORTED,Direct,12-Sep-2014,300
Sikder (Gopal Chandra),UNREPORTED,Direct,18-Aug-2014,"3,800"
Garg (R),UNREPORTED,Direct,16-Jul-2014,"1,050"
Garg (Shuchita),UNREPORTED,Direct,16-Jul-2014,420
