Insider,Insider Type,Type,Date,Shares
Sarma (C V),UNREPORTED,Direct,30-Dec-2019,"20,730"
Thakur (Nripendranath),UNREPORTED,Direct,31-Dec-2019,"28,000"
Bose (Sudip Kumar),UNREPORTED,Direct,13-Mar-2020,"2,257"
Anand (P J),UNREPORTED,Direct,11-Mar-2020,"18,000"
Sanganeria (Ganesh),UNREPORTED,Direct,03-Mar-2020,"10,000"
Vishwanathan (M),UNREPORTED,Direct,12-Mar-2020,"2,200"
Prasad (Rama H N),UNREPORTED,Direct,18-Dec-2019,"20,000"
Gouraha (Rahul),UNREPORTED,Direct,13-Mar-2020,"167,700"
Ganesan (Murali),UNREPORTED,Direct,07-Nov-2019,"35,000"
Vikram (Roopa),UNREPORTED,Direct,09-Mar-2020,"17,000"
Rajput (Anil K),UNREPORTED,Direct,12-Mar-2020,"100,000"
Chowdhury (Prasenjit R),UNREPORTED,Direct,09-Mar-2020,"10,000"
Singh (Jagdish),UNREPORTED,Direct,10-Feb-2020,"10,000"
Kar (Saurabh),UNREPORTED,Direct,06-Mar-2020,"36,900"
Rajasekhar (V V),UNREPORTED,Direct,28-Feb-2020,"107,200"
Rayavaram (Ravi K),UNREPORTED,Direct,01-Feb-2020,"47,000"
Senguttuvan (R),UNREPORTED,Direct,28-Feb-2020,"20,000"
Radhakrishnan (K),UNREPORTED,Direct,27-Feb-2020,"11,000"
Ambasta (Ashesh),UNREPORTED,Direct,20-Nov-2019,"8,500"
Haksar (Dipak),UNREPORTED,Direct,18-Feb-2020,"36,050"
Menon (Vidyaprakash Prabhakaran),UNREPORTED,Direct,07-Nov-2019,"5,000"
Rasquinha (Peter),UNREPORTED,Direct,05-Nov-2019,"2,000"
Shanmugassundaram (Angamuthu),UNREPORTED,Direct,18-Feb-2020,"19,000"
Tyagi (Shailender),UNREPORTED,Direct,18-Feb-2020,"40,000"
Gandhi (Rahul),UNREPORTED,Direct,19-Dec-2019,"48,000"
Banerjee (Samrat),UNREPORTED,Direct,20-Nov-2019,"2,000"
Banerjee (Somnath),UNREPORTED,Direct,20-Nov-2019,"10,000"
Mitra (S),UNREPORTED,Direct,18-Feb-2020,"35,000"
Wati (Paritosh),UNREPORTED,Direct,27-Dec-2019,"1,000"
Dar (Chitranjan),UNREPORTED,Direct,17-Feb-2020,"20,000"
Panda (Swarup),UNREPORTED,Direct,20-Nov-2019,"50,000"
Puri (Sanjiv),Managing Director,Direct,30-Dec-2019,"25,000"
Tandon (Rajiv),Director (Executive),Direct,30-Dec-2019,"22,500"
Bansal (Ramesh Kumar),UNREPORTED,Direct,20-Nov-2019,"15,000"
Ghosh (Debojit),UNREPORTED,Direct,18-Dec-2019,"2,500"
Nayak (Anand),UNREPORTED,Direct,30-Dec-2019,"200,000"
Venkateswaran (Krishnan),UNREPORTED,Direct,30-Dec-2019,"45,000"
Seksaria (Sanjeev),UNREPORTED,Direct,05-Dec-2019,"3,000"
Anand (Nakul),Director (Executive),Direct,05-Nov-2019,"100,000"
Kumar (Atul),UNREPORTED,Direct,20-Dec-2019,"25,980"
Narayanan (Ravi R),UNREPORTED,Direct,19-Dec-2019,"20,000"
Roy (Abhijit),UNREPORTED,Direct,19-Dec-2019,"50,000"
Puri (Sudhir),UNREPORTED,Direct,07-Nov-2019,"10,000"
Singhi (Rajendra Kumar),Executive Vice Chairman,Direct,05-Dec-2019,"25,000"
Vinayaka (H C),UNREPORTED,Direct,19-Dec-2019,"17,000"
Saha (Goutam Kumar),UNREPORTED,Direct,18-Dec-2019,"5,653"
Karthik (Bhanu),UNREPORTED,Direct,05-Dec-2019,"3,000"
Kaul (Sandeep),UNREPORTED,Direct,07-Nov-2019,"5,000"
Rangress (Sanjive),UNREPORTED,Direct,05-Nov-2019,"5,000"
Narasimham (B V),UNREPORTED,Direct,05-Dec-2019,"10,000"
Wanchoo (Siddharth),UNREPORTED,Direct,28-Nov-2019,"25,000"
Arif (Nazzeb),UNREPORTED,Direct,06-Nov-2019,"38,000"
Datta (Saradindu),UNREPORTED,Direct,20-Nov-2019,"37,680"
Guha (Sumitro),UNREPORTED,Direct,05-Nov-2019,"18,850"
Shenoy (T S M),UNREPORTED,Direct,20-Nov-2019,"46,080"
Shah (Amit),UNREPORTED,Direct,20-Nov-2019,"54,500"
Stephanos (Kuryan G),UNREPORTED,Direct,07-Nov-2019,"20,000"
Panda (Shatanshu),UNREPORTED,Direct,20-Nov-2019,"115,500"
Anandan (Milan),UNREPORTED,Direct,05-Nov-2019,"3,000"
Chakrawarti (Abhijit),UNREPORTED,Direct,07-Nov-2019,"5,000"
Balakrishnan (Subramanian),UNREPORTED,Direct,07-Nov-2019,"10,000"
Sandeep (C),UNREPORTED,Direct,07-Nov-2019,"37,800"
