,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"5,58,10,000","58,20,000","91,74,900"
Other short-term investments,"71,20,000","59,00,000","95,08,900"
Total cash,"6,29,30,000","1,17,20,000","1,86,83,800"
Net receivables,"7,16,00,000","4,70,40,000","4,14,94,400"
Inventory,"14,54,80,000","12,59,40,000","11,39,49,600"
Other current assets,"8,70,000","16,10,000","3,19,79,200"
Total current assets,"33,55,50,000","23,19,20,000","21,26,13,800"
"Gross property, plant and equipment","87,89,20,000","73,57,40,000","69,47,13,900"
Accumulated depreciation,"-14,74,80,000","-10,89,10,000","-7,60,35,400"
"Net property, plant and equipment","73,14,40,000","62,68,30,000","61,86,78,500"
Goodwill,"84,00,000","70,70,000","87,16,800"
Intangible assets,"54,90,000","40,80,000","35,36,200"
Other long-term assets,"5,60,000","10,40,000","3,52,600"
Total non-current assets,"81,35,90,000","68,82,60,000","66,77,93,200"
Total assets,"1,14,91,40,000","92,01,80,000","88,04,07,000"
Current debt,"17,48,00,000","7,44,90,000","10,91,82,800"
Accounts payable,"16,15,90,000","15,94,40,000","14,35,23,300"
Other current liabilities,"66,80,000","1,02,70,000","67,83,700"
Total current liabilities,"42,00,80,000","28,96,40,000","29,51,11,800"
Long-term debt,"27,95,90,000","30,16,30,000","30,63,51,400"
Deferred tax liabilities,"3,89,40,000","2,60,40,000","3,07,35,700"
Deferred revenues,"4,19,60,000","10,10,000","2,06,800"
Other long-term liabilities,"1,40,000","2,70,000","3,14,300"
Total non-current liabilities,"38,56,10,000","35,52,00,000","36,12,76,100"
Total liabilities,"80,56,90,000","64,48,40,000","65,63,87,900"
Common stock,"30,10,000","30,20,000","30,13,300"
Retained earnings,"13,73,60,000","7,52,80,000",-
Total stockholders' equity,"34,79,50,000","27,99,80,000","22,64,76,300"
Total liabilities and stockholders' equity,"1,14,91,40,000","92,01,80,000","88,04,07,000"
