,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"5,32,20,000","7,63,90,000","6,21,40,000","3,52,31,200"
Depreciation & amortisation,-,"4,04,10,000","3,38,70,000","3,42,98,700"
Stock-based compensation,-,"5,00,000","2,80,000","1,28,500"
Change in working capital,-,"-1,58,10,000","-1,10,10,000","-3,86,64,800"
Inventory,-,"-1,74,10,000","-1,19,90,000","-3,06,50,700"
Other working capital,-,"4,42,70,000","7,64,30,000","2,93,08,500"
Other non-cash items,-,"3,26,40,000","3,25,90,000","2,84,40,500"
Net cash provided by operating activities,-,"14,63,30,000","12,37,90,000","7,36,59,400"
"Investments in property, plant and equipment",-,"-10,20,60,000","-4,73,60,000","-4,43,50,900"
"Acquisitions, net",-,"-1,42,70,000","-36,10,000","-14,71,200"
Purchases of investments,-,"-8,60,80,000",-,-
Sales/maturities of investments,-,"8,59,10,000",-,-
Other investing activities,-,-,"37,30,000","-38,05,000"
Net cash used for investing activities,-,"-11,44,80,000","-4,52,90,000","-5,09,38,100"
Net change in cash,-,"4,93,80,000","-33,50,000","8,37,800"
Cash at beginning of period,-,"58,20,000","91,70,000","83,32,600"
Cash at end of period,-,"5,58,10,000","58,20,000","91,74,900"
Operating cash flow,-,"14,63,30,000","12,37,90,000","7,36,59,400"
Capital expenditure,-,"-10,20,60,000","-4,73,60,000","-4,43,50,900"
Free cash flow,-,"4,42,70,000","7,64,30,000","2,93,08,500"
