,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,122.97,124.33,122.20,122.78,50.94,"1,13,61,580"
08-Apr-2010,126.00,126.37,121.50,122.33,50.76,"94,93,520"
07-Apr-2010,127.73,128.58,124.78,125.93,52.25,"91,65,040"
06-Apr-2010,128.50,129.00,126.50,127.39,52.86,"79,24,020"
05-Apr-2010,125.99,128.89,125.51,128.10,53.16,"1,47,99,100"
01-Apr-2010,124.50,125.90,123.40,125.07,51.90,"1,47,44,640"
31-Mar-2010,124.50,125.39,122.12,123.48,51.24,"1,27,21,260"
30-Mar-2010,126.50,127.50,123.44,123.95,51.43,"90,66,510"
29-Mar-2010,129.00,130.00,125.51,125.89,52.24,"98,36,550"
26-Mar-2010,129.77,130.00,125.57,128.43,53.29,"1,03,14,650"
25-Mar-2010,126.40,129.00,126.20,128.00,53.11,"1,57,01,090"
23-Mar-2010,123.80,127.15,123.80,126.72,52.58,"2,45,67,900"
22-Mar-2010,123.21,124.50,122.00,123.21,51.13,"1,07,99,590"
19-Mar-2010,125.00,125.40,123.50,124.24,51.55,"1,30,23,340"
18-Mar-2010,122.50,125.20,121.80,124.91,51.83,"1,81,80,470"
17-Mar-2010,121.50,122.70,120.51,122.18,50.70,"1,72,23,430"
16-Mar-2010,118.00,120.24,117.97,119.90,49.75,"1,98,88,080"
15-Mar-2010,117.70,118.87,115.77,117.97,48.95,"1,47,22,130"
12-Mar-2010,116.64,118.98,115.82,117.88,48.91,"2,41,27,970"
11-Mar-2010,116.80,117.63,115.42,116.64,48.40,"1,35,65,540"
10-Mar-2010,118.00,119.70,115.71,117.06,48.57,"2,01,30,390"
09-Mar-2010,121.00,121.00,118.51,119.34,49.52,"1,13,60,700"
08-Mar-2010,121.50,123.14,118.11,120.26,49.90,"1,69,02,940"
05-Mar-2010,116.69,120.40,116.69,119.61,49.63,"2,16,84,150"
04-Mar-2010,114.87,116.98,113.70,115.97,48.12,"1,61,78,760"
03-Mar-2010,111.20,115.24,110.00,114.68,47.58,"1,74,67,930"
02-Mar-2010,109.50,111.79,108.50,111.28,46.17,"1,53,65,490"
26-Feb-2010,107.00,110.90,105.55,107.04,44.41,"1,69,13,510"
25-Feb-2010,108.90,109.01,107.12,108.54,45.04,"1,82,06,010"
24-Feb-2010,105.30,108.20,103.50,107.79,44.72,"2,19,90,350"
23-Feb-2010,102.10,105.90,102.10,105.36,43.72,"1,98,14,540"
22-Feb-2010,106.50,113.60,102.23,102.92,42.70,"1,27,98,310"
19-Feb-2010,104.50,105.00,101.26,102.19,42.40,"1,64,44,470"
18-Feb-2010,107.30,107.30,102.89,106.08,44.02,"1,66,18,460"
17-Feb-2010,103.60,107.50,103.10,106.28,44.10,"1,73,15,430"
16-Feb-2010,101.55,102.57,100.51,102.26,42.43,"1,34,22,690"
15-Feb-2010,99.17,101.50,98.03,101.14,41.97,"1,69,40,830"
11-Feb-2010,96.91,99.39,96.91,98.67,40.94,"1,37,97,740"
10-Feb-2010,99.50,101.00,95.22,96.05,39.86,"2,05,92,740"
09-Feb-2010,97.80,99.66,97.00,98.67,40.94,"2,09,33,380"
08-Feb-2010,99.00,101.79,94.82,98.33,40.80,"3,54,99,970"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,97.11,99.00,93.86,96.52,40.05,"2,31,01,980"
04-Feb-2010,104.80,105.39,101.76,102.29,42.45,"1,89,55,880"
03-Feb-2010,98.95,106.18,98.50,105.58,43.81,"2,64,35,940"
02-Feb-2010,100.70,102.88,96.81,97.44,40.43,"1,80,67,950"
01-Feb-2010,96.55,100.95,96.01,99.57,41.31,"1,78,41,780"
29-Jan-2010,98.00,99.80,93.00,98.55,40.89,"2,00,36,750"
28-Jan-2010,97.50,99.79,96.79,98.98,41.07,"2,28,79,180"
27-Jan-2010,103.00,105.00,94.82,96.00,39.83,"2,25,21,880"
25-Jan-2010,110.90,110.90,104.80,105.49,43.77,"1,08,76,540"
22-Jan-2010,109.90,111.47,106.13,109.76,45.55,"1,12,03,560"
21-Jan-2010,115.30,116.49,112.00,112.46,46.66,"1,00,70,400"
20-Jan-2010,115.30,117.50,114.50,115.36,47.87,"1,38,33,750"
19-Jan-2010,117.00,117.99,114.81,115.52,47.93,"1,01,00,780"
18-Jan-2010,117.00,117.47,115.50,116.89,48.51,"95,36,970"
15-Jan-2010,118.35,120.67,117.11,117.99,48.96,"2,03,03,920"
14-Jan-2010,115.20,118.67,113.88,118.21,49.05,"2,34,05,760"
13-Jan-2010,105.39,114.99,105.39,114.15,47.37,"1,53,21,820"
12-Jan-2010,113.50,114.99,112.10,112.80,46.81,"1,19,42,520"
11-Jan-2010,113.00,115.68,112.30,114.26,47.41,"1,81,66,970"
08-Jan-2010,111.60,113.73,110.51,111.81,46.39,"1,22,42,440"
07-Jan-2010,114.80,115.50,111.75,112.44,46.66,"1,21,90,810"
06-Jan-2010,114.03,115.54,111.62,114.89,47.68,"3,22,66,220"
05-Jan-2010,106.97,114.80,102.68,113.49,47.09,"3,77,29,180"
04-Jan-2010,102.00,102.84,101.02,102.29,42.45,"63,00,240"
19-Jul-2010,108.97,111.20,108.97,110.24,50.35,"82,20,510"
16-Jul-2010,110.20,110.96,109.14,110.12,50.29,"1,06,89,110"
15-Jul-2010,108.30,110.19,107.68,109.64,50.07,"1,14,43,150"
14-Jul-2010,111.00,112.50,107.92,108.23,49.43,"1,19,66,970"
13-Jul-2010,107.50,110.79,107.12,110.11,50.29,"1,72,73,550"
12-Jul-2010,108.50,118.00,107.51,108.24,49.43,"1,06,16,650"
09-Jul-2010,107.54,109.49,107.50,108.18,49.41,"1,17,16,160"
08-Jul-2010,107.60,109.14,106.71,107.40,49.05,"1,25,93,270"
07-Jul-2010,110.00,110.66,105.88,106.28,48.54,"3,33,92,270"
06-Jul-2010,103.00,107.97,102.88,107.59,49.14,"1,66,62,070"
05-Jul-2010,102.68,103.80,102.50,102.88,46.98,"50,18,130"
02-Jul-2010,104.00,104.70,102.00,102.97,47.03,"1,13,66,730"
01-Jul-2010,105.46,105.50,103.39,103.69,47.35,"89,14,290"
30-Jun-2010,104.00,106.50,103.33,106.14,48.48,"98,69,710"
29-Jun-2010,106.32,107.60,104.21,104.96,47.93,"1,67,62,130"
28-Jun-2010,104.61,106.81,104.20,106.32,48.56,"88,61,870"
25-Jun-2010,105.10,106.30,103.90,104.32,47.64,"96,66,740"
24-Jun-2010,107.20,107.80,104.87,105.65,48.25,"1,78,69,460"
23-Jun-2010,106.50,108.70,105.90,106.70,48.73,"2,03,04,320"
22-Jun-2010,108.80,109.30,106.74,107.07,48.90,"1,12,50,390"
21-Jun-2010,105.47,110.32,105.22,109.69,50.09,"2,21,02,060"
18-Jun-2010,104.50,105.52,103.12,103.89,47.45,"1,68,03,030"
17-Jun-2010,105.74,106.20,103.65,104.91,47.91,"1,19,49,220"
16-Jun-2010,107.00,107.80,105.15,105.72,48.28,"1,37,27,550"
15-Jun-2010,104.50,106.93,103.60,106.36,48.58,"2,36,29,110"
14-Jun-2010,104.69,105.10,103.71,104.38,47.67,"1,11,02,100"
11-Jun-2010,105.54,106.61,103.33,103.93,43.12,"1,92,40,480"
10-Jun-2010,103.20,105.42,102.00,105.04,43.59,"1,72,14,340"
09-Jun-2010,101.21,104.38,101.21,102.71,42.62,"2,33,53,470"
08-Jun-2010,103.50,104.50,100.10,101.21,41.99,"2,39,78,750"
07-Jun-2010,106.44,106.44,101.68,103.19,42.82,"1,67,73,510"
04-Jun-2010,107.50,108.30,105.01,107.58,44.64,"1,47,86,440"
03-Jun-2010,107.00,109.50,106.50,107.01,44.41,"2,25,70,280"
02-Jun-2010,105.80,106.21,103.00,105.39,43.73,"3,43,01,270"
01-Jun-2010,109.00,111.83,104.53,105.40,43.74,"2,67,05,710"
31-May-2010,110.30,111.30,107.00,110.81,45.98,"1,95,36,560"
28-May-2010,109.50,111.55,108.57,110.00,45.65,"2,29,31,650"
27-May-2010,106.00,109.00,102.28,107.52,44.61,"2,53,46,900"
26-May-2010,100.50,106.30,100.50,105.04,43.58,"2,67,21,360"
25-May-2010,103.80,103.97,98.32,99.44,41.26,"2,87,78,190"
24-May-2010,110.50,112.44,104.43,105.54,43.79,"1,57,38,110"
21-May-2010,102.50,109.38,101.82,108.46,45.01,"2,23,76,340"
20-May-2010,109.24,109.97,104.65,106.69,44.27,"2,51,49,780"
19-May-2010,113.70,114.00,106.50,108.18,44.89,"2,32,06,650"
18-May-2010,116.88,118.50,114.01,115.03,47.73,"2,24,35,240"
17-May-2010,117.90,118.25,113.75,117.11,48.59,"1,80,88,430"
14-May-2010,123.67,126.26,118.21,119.62,49.64,"3,37,72,380"
13-May-2010,124.99,127.10,123.10,126.11,52.33,"2,83,83,010"
12-May-2010,120.50,123.66,118.71,123.27,51.15,"2,29,58,470"
11-May-2010,121.50,122.50,114.50,120.11,49.84,"2,50,43,600"
10-May-2010,114.30,122.20,113.50,121.18,50.29,"2,44,47,770"
07-May-2010,112.40,113.78,110.10,112.13,46.53,"1,78,33,210"
06-May-2010,114.40,116.90,112.35,115.49,47.92,"2,13,03,720"
05-May-2010,112.80,116.48,108.83,115.61,47.97,"3,32,79,350"
04-May-2010,123.77,123.77,113.84,114.41,47.47,"2,22,22,450"
03-May-2010,122.40,123.70,120.87,122.18,50.70,"1,61,33,010"
30-Apr-2010,124.50,125.32,121.92,122.76,50.94,"1,59,45,130"
29-Apr-2010,118.50,123.80,118.02,123.25,51.14,"1,71,74,450"
28-Apr-2010,118.50,119.29,117.00,117.76,48.87,"1,07,56,550"
27-Apr-2010,122.00,122.34,120.05,120.48,49.99,"88,45,980"
26-Apr-2010,120.60,123.09,120.21,121.24,50.31,"1,35,82,570"
23-Apr-2010,120.90,121.43,118.21,119.82,49.72,"1,50,82,360"
22-Apr-2010,122.60,123.43,119.50,120.43,49.97,"1,31,89,410"
21-Apr-2010,122.97,124.53,122.01,122.53,50.84,"84,43,020"
20-Apr-2010,122.81,125.20,121.90,122.47,50.82,"1,54,83,590"
19-Apr-2010,127.50,127.97,122.00,122.60,50.87,"1,72,65,310"
16-Apr-2010,127.00,130.19,126.46,128.89,53.48,"1,21,98,450"
15-Apr-2010,127.30,128.80,126.10,126.50,52.49,"1,22,49,280"
