,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"9,77,02,000","8,90,51,300","7,36,98,600","6,04,12,300"
Depreciation & amortisation,-,"2,08,40,000","1,92,87,300","2,36,99,300"
Stock-based compensation,-,"15,79,700","11,13,900","8,81,700"
Change in working capital,-,"-16,24,72,800","-19,87,57,200","-1,76,26,000"
Inventory,-,"33,06,800","-64,23,800","1,50,97,700"
Other working capital,-,"-8,99,94,600","-12,90,81,900","3,25,61,400"
Other non-cash items,-,"1,82,34,200","1,53,29,400","1,33,98,400"
Net cash provided by operating activities,-,"-4,71,68,500","-10,03,10,200","6,23,48,500"
"Investments in property, plant and equipment",-,"-4,28,26,100","-2,87,71,700","-2,97,87,100"
"Acquisitions, net",-,"-30,98,600","-22,92,700","-2,03,70,400"
Purchases of investments,-,"-4,91,71,500","-1,29,62,300","-7,82,50,000"
Sales/maturities of investments,-,"65,33,600","2,98,04,200","6,70,000"
Other investing activities,-,"-3,94,45,000","71,45,400","-32,11,700"
Net cash used for investing activities,-,"-10,99,93,900","3,91,45,000","-9,74,02,400"
Net change in cash,-,"-27,52,600","3,25,39,400","2,17,000"
Cash at beginning of period,-,"6,79,86,900","3,54,47,500","3,78,95,100"
Cash at end of period,-,"6,52,34,300","6,79,86,900","3,81,12,100"
Operating cash flow,-,"-4,71,68,500","-10,03,10,200","6,23,48,500"
Capital expenditure,-,"-4,28,26,100","-2,87,71,700","-2,97,87,100"
Free cash flow,-,"-8,99,94,600","-12,90,81,900","3,25,61,400"
