,Most-recent transaction,Date,Shares owned as of transaction date
Chokshi (Falgun N),Sale,26-Mar-2020,"4,425"
Joshi (Shrikant P),Acquisition,16-Mar-2020,"17,965"
Kumar (Mondal Arnob),Sale,29-Jan-2020,992
Mohan (Lawernce),Sale,09-Mar-2020,"6,500"
Naik (A M),Acquisition,31-Mar-2020,"624,958"
Sirupa (S B P),Sale,30-Dec-2019,"18,242"
Subrahmanyan (Meena),Acquisition,31-Mar-2020,"83,367"
T S (Harish),Sale,26-Mar-2020,"18,644"
Tripathy (T K),Sale,16-Mar-2020,"31,705"
Yogi (Sriram),Acquisition,23-Mar-2020,"1,300"
