Insider,Insider Type,Type,Date,Shares
Subrahmanyan (Meena),UNREPORTED,Direct,24-Mar-2020,"2,000"
Naik (A M),UNREPORTED,Direct,31-Mar-2020,"199,958"
T S (Harish),UNREPORTED,Direct,26-Mar-2020,"1,500"
Chokshi (Falgun N),UNREPORTED,Direct,10-Feb-2020,"4,300"
Yogi (Sriram),UNREPORTED,Direct,19-Mar-2020,200
Joshi (Shrikant P),UNREPORTED,Direct,13-Mar-2020,"2,000"
Tripathy (T K),UNREPORTED,Direct,11-Mar-2020,500
Mohan (Lawernce),UNREPORTED,Direct,10-Dec-2019,930
Kumar (Mondal Arnob),UNREPORTED,Direct,28-May-2019,"1,100"
Sirupa (S B P),UNREPORTED,Direct,27-Nov-2019,"5,350"
Mahadeshwar (Prasad A),UNREPORTED,Direct,31-Oct-2019,500
Praveen (K V),UNREPORTED,Direct,21-Nov-2019,500
Soman (Sarvesh M),UNREPORTED,Direct,11-Jun-2019,"2,500"
Rajanish (S P),UNREPORTED,Direct,31-Oct-2019,425
Bhargava (S C),Divisional Officer,Direct,22-May-2019,"1,000"
Anupam (Kumar),UNREPORTED,Direct,24-Sep-2019,"2,305"
Dey (Anindita),UNREPORTED,Direct,24-Sep-2019,"2,250"
KP (Santhosh),UNREPORTED,Direct,02-Aug-2019,1
Sonthalia (Ashok),UNREPORTED,Direct,31-May-2019,700
Trivedi (Ranjan Y),UNREPORTED,Direct,23-Sep-2019,"1,000"
Chandran (I),UNREPORTED,Direct,12-Sep-2019,328
Korlekar (Nissam T),UNREPORTED,Direct,20-Sep-2019,"1,496"
Verma (Shashikala),UNREPORTED,Direct,13-Aug-2019,100
Ajay (Jain),UNREPORTED,Direct,23-May-2019,"5,800"
Vegu (Sreenivasa),UNREPORTED,Direct,24-May-2019,650
Arunakumar (S),UNREPORTED,Direct,18-Feb-2019,650
Sukumar (T),UNREPORTED,Direct,23-May-2019,380
Sharma (Sharat),UNREPORTED,Direct,23-May-2019,200
M V (Satish),UNREPORTED,Direct,14-Jun-2019,"15,000"
Kumar (Keshava D),UNREPORTED,Direct,20-May-2019,450
Senthilnathan (K),UNREPORTED,Direct,29-May-2019,200
Cyriac (Antony),UNREPORTED,Direct,03-Jun-2019,"1,500"
Raval (Mukesh Surendraray),UNREPORTED,Direct,28-May-2019,"2,300"
Sarma (Bhaskara Sivarama),UNREPORTED,Direct,28-May-2019,"1,250"
Latha (B Lakshmi Krishna),UNREPORTED,Direct,28-May-2019,500
Roy (Shailendra N),Wholetime Director,Direct,23-May-2019,250
Rajaram (K),UNREPORTED,Direct,27-May-2019,"17,806"
Gupta (Akhilesh),Independent Non-Executive Director,Direct,24-May-2019,"25,000"
Singh (Arvind kumar),UNREPORTED,Direct,24-May-2019,"1,000"
Balan (Padma),UNREPORTED,Direct,21-May-2019,100
Gupta (Tamal Das),UNREPORTED,Direct,20-May-2019,"1,750"
Singh (U V),UNREPORTED,Direct,20-May-2019,500
Venkatesh (R),UNREPORTED,Direct,20-May-2019,"1,725"
Ramana (M V),UNREPORTED,Direct,01-Feb-2019,"2,000"
Kulkarni (N R),UNREPORTED,Direct,25-Mar-2019,"1,000"
Kumar (Naveen),UNREPORTED,Direct,12-Mar-2019,400
Indwar (Saurabh),UNREPORTED,Direct,25-Feb-2019,200
Risbud (V V),UNREPORTED,Direct,15-Mar-2019,"1,299"
Ramachandran (Nair Ashish),UNREPORTED,Direct,12-Feb-2019,"1,000"
Joshipura (Hasit),UNREPORTED,Direct,11-Feb-2019,"10,000"
Babul (Ganguly K),UNREPORTED,Direct,05-Feb-2019,"1,200"
Hilroy (Christie K J),UNREPORTED,Direct,30-Jan-2019,"2,450"
