,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,2,2,1,1
Avg. Estimate,136.36B,147.26B,1.02T,1.13T
Low estimate,135.5B,146.55B,1.02T,1.13T
High estimate,137.21B,147.98B,1.02T,1.13T
Year ago EPS,6.95,8.47,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,115.78B,133.08B,486.86B,1.02T
Sales growth (year/est),17.80%,10.70%,108.50%,11.50%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,12.88,10.29,14.81,12.7
Actual EPS,6.95,8.47,10.04,12.68
Difference,-5.93,-1.82,-4.77,-0.02
Surprise %,-46.00%,-17.70%,-32.20%,-0.20%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,7.73,8.82,45.86,53.61
30 days ago,7.73,8.82,45.86,53.61
60 days ago,7.73,8.82,45.86,53.61
90 days ago,7.73,8.82,45.86,53.61
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,1,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,M&M.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),13.69%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
