,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"91,26,53,200","93,83,04,200","82,85,72,000","75,08,07,900"
Cost of revenue,"57,48,08,300","60,11,64,600","53,05,62,900","50,32,35,700"
Gross profit,"33,78,44,900","33,71,39,600","29,80,09,100","24,75,72,200"
Selling general and administrative,-,"8,25,97,900","6,33,47,200","5,13,72,500"
Total operating expenses,"34,81,09,100","32,46,14,000","28,20,82,200","24,15,55,500"
Operating income or loss,"-1,02,64,200","1,25,25,600","1,59,26,900","60,16,700"
Interest expense,"5,81,22,300","4,90,81,000","3,87,90,400","3,55,52,600"
Income before tax,"5,12,07,900","8,87,08,400","10,32,55,200","6,35,02,600"
Income tax expense,"2,77,23,900","2,85,39,900","2,36,77,300","2,29,97,300"
Income from continuing operations,"2,34,84,000","6,01,68,500","7,95,77,900","4,05,05,300"
Net income,"2,15,49,100","5,31,54,600","7,51,03,900","3,69,80,400"
Net income available to common shareholders,"2,15,49,100","5,31,54,600","7,51,03,900","3,69,80,400"
Basic EPS,-,48.91,69.20,34.16
Diluted EPS,-,48.70,68.86,33.98
Basic average shares,-,"10,86,806","10,85,246","10,82,414"
Diluted average shares,-,"10,91,566","10,90,617","10,88,407"
EBITDA,-,"17,76,97,100","17,48,44,600","12,84,70,300"
