,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"6,18,41,000","7,64,91,000","7,88,00,000","7,50,99,000"
Depreciation & amortisation,-,"3,02,08,000","2,75,98,000","2,60,39,000"
Change in working capital,-,"-1,31,48,000","2,80,78,000","2,19,18,000"
Inventory,-,"-16,24,000","10,35,000","-13,11,000"
Other working capital,-,"1,72,85,000","7,87,63,000","6,89,08,000"
Other non-cash items,-,"-5,37,000","19,24,000","4,81,000"
Net cash provided by operating activities,-,"6,60,09,000","11,78,79,000","10,28,20,000"
"Investments in property, plant and equipment",-,"-4,87,24,000","-3,91,16,000","-3,39,12,000"
"Acquisitions, net",-,"-3,000",-,-
Purchases of investments,-,"-52,95,72,000","-47,06,89,000","-17,71,55,000"
Sales/maturities of investments,-,"53,98,64,000","42,56,43,000","11,83,93,000"
Other investing activities,-,-,-,"68,000"
Net cash used for investing activities,-,"-3,53,99,000","-8,30,17,000","-9,17,32,000"
Net change in cash,-,"11,31,000","5,01,000","-2,05,000"
Cash at beginning of period,-,"7,28,000","2,27,000","4,32,000"
Cash at end of period,-,"18,59,000","7,28,000","2,27,000"
Operating cash flow,-,"6,60,09,000","11,78,79,000","10,28,20,000"
Capital expenditure,-,"-4,87,24,000","-3,91,16,000","-3,39,12,000"
Free cash flow,-,"1,72,85,000","7,87,63,000","6,89,08,000"
