,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,"1,396.00","1,399.00","1,370.25","1,377.65","1,268.96","4,41,989"
08-Apr-2010,"1,247.70","1,412.00","1,247.70","1,384.10","1,274.90","4,10,233"
07-Apr-2010,"1,389.70","1,407.00","1,368.00","1,402.90","1,292.22","6,34,823"
06-Apr-2010,"1,410.00","1,410.00","1,373.25","1,376.65","1,268.04","3,43,707"
05-Apr-2010,"1,399.50","1,409.00","1,386.30","1,397.35","1,287.11","4,09,185"
01-Apr-2010,"1,425.00","1,429.00","1,386.25","1,393.15","1,283.24","4,77,130"
31-Mar-2010,"1,391.55","1,423.50","1,349.00","1,417.95","1,306.08","3,20,921"
30-Mar-2010,"1,400.00","1,446.00","1,400.00","1,407.65","1,296.59","3,54,798"
29-Mar-2010,"1,409.80","1,437.80","1,397.20","1,427.45","1,314.83","6,28,028"
26-Mar-2010,"1,372.00","1,413.00","1,368.05","1,396.85","1,286.64","5,76,501"
25-Mar-2010,"1,390.00","1,397.85","1,360.00","1,370.15","1,262.05","6,56,336"
23-Mar-2010,"1,404.95","1,412.20","1,388.00","1,393.40","1,283.47","3,13,873"
22-Mar-2010,"1,420.00","1,423.80","1,391.00","1,397.45","1,287.20","4,70,482"
19-Mar-2010,"1,428.00","1,434.30","1,421.00","1,429.30","1,316.53","2,86,967"
18-Mar-2010,"1,444.00","1,446.00","1,409.00","1,421.70","1,309.53","6,31,915"
17-Mar-2010,"1,465.00","1,473.75","1,428.65","1,433.50","1,320.40","6,48,678"
16-Mar-2010,"1,459.80","1,462.80","1,436.45","1,458.80","1,343.71","2,56,298"
15-Mar-2010,"1,464.00","1,464.80","1,426.15","1,446.10","1,332.01","4,45,078"
12-Mar-2010,"1,470.00","1,487.50","1,460.00","1,463.60","1,348.13","3,34,671"
11-Mar-2010,"1,470.05","1,484.95","1,455.00","1,464.20","1,348.68","5,54,034"
10-Mar-2010,"1,508.00","1,519.80","1,470.00","1,479.85","1,363.10","9,76,355"
09-Mar-2010,"1,480.00","1,509.15","1,471.00","1,499.50","1,381.20","8,75,543"
08-Mar-2010,"1,473.70","1,492.30","1,463.00","1,478.15","1,361.53","5,15,595"
05-Mar-2010,"1,467.00","1,474.40","1,447.70","1,457.05","1,342.10","3,53,414"
04-Mar-2010,"1,477.00","1,489.00","1,452.10","1,457.15","1,342.19","4,13,804"
03-Mar-2010,"1,496.00","1,500.90","1,460.65","1,476.50","1,360.01","8,09,671"
02-Mar-2010,"1,472.00","1,501.00","1,462.55","1,491.10","1,373.46","13,21,957"
26-Feb-2010,"1,398.80","1,490.00","1,375.00","1,459.95","1,344.77","17,11,733"
25-Feb-2010,"1,374.20","1,407.90","1,358.00","1,399.90","1,289.45","7,94,244"
24-Feb-2010,"1,325.00","1,388.85","1,317.65","1,365.40","1,257.68","8,27,260"
23-Feb-2010,"1,369.85","1,389.00","1,317.70","1,335.75","1,230.37","4,84,780"
22-Feb-2010,"1,380.00","1,403.00","1,378.30","1,386.25","1,276.88","3,85,247"
19-Feb-2010,"1,354.00","1,381.00","1,335.00","1,371.00","1,262.83","3,99,798"
18-Feb-2010,"1,390.00","1,390.00","1,349.00","1,359.65","1,252.38","3,23,684"
17-Feb-2010,"1,369.95","1,386.90","1,365.30","1,380.25","1,271.35","3,71,999"
16-Feb-2010,"1,339.70","1,370.45","1,334.00","1,357.35","1,250.26","3,22,869"
15-Feb-2010,"1,364.00","1,368.80","1,330.10","1,336.00","1,230.60","2,88,768"
11-Feb-2010,"1,330.10","1,363.50","1,330.10","1,356.35","1,249.34","2,89,022"
10-Feb-2010,"1,355.00","1,368.60","1,328.25","1,333.90","1,228.66","4,33,681"
09-Feb-2010,"1,355.00","1,374.00","1,342.50","1,352.75","1,246.02","4,91,001"
08-Feb-2010,"1,375.10","1,388.80","1,347.20","1,362.05","1,254.59","5,55,655"
06-Feb-2010,-,-,-,-,-,-
