,ttm,31/12/2019,31/12/2018,31/12/2017,31/12/2016
Net income,"2,03,22,400","1,96,95,500","1,60,69,300","1,22,51,900","92,65,400"
Depreciation & amortisation,-,"31,63,600","33,56,700","34,22,500","35,36,200"
Change in working capital,-,"16,32,000","41,28,000","37,49,500","28,53,100"
Inventory,-,"-31,75,200","-6,30,800","3,75,900","-12,23,700"
Other working capital,-,"2,07,91,500","1,88,64,700","1,61,92,300","1,25,89,000"
Other non-cash items,-,"-24,51,900","-25,48,700","-17,62,600","-14,58,800"
Net cash provided by operating activities,-,"2,23,36,700","2,05,24,500","1,81,77,900","1,46,59,100"
"Investments in property, plant and equipment",-,"-15,45,200","-16,59,800","-19,85,600","-20,70,100"
Purchases of investments,-,"-1,58,600","-16,03,900","-11,18,100","-15,27,700"
Sales/maturities of investments,-,"1,29,200",-,-,-
Other investing activities,-,"1,200",-,-,-
Net cash used for investing activities,-,"8,29,900","-5,24,100","-13,05,600","-12,74,100"
Net change in cash,-,"-1,22,32,900","68,26,200","69,06,100","67,19,500"
Cash at beginning of period,-,"3,52,39,000","2,84,12,800","2,15,06,700","1,47,24,100"
Cash at end of period,-,"2,30,06,100","3,52,39,000","2,84,12,800","2,14,43,600"
Operating cash flow,-,"2,23,36,700","2,05,24,500","1,81,77,900","1,46,59,100"
Capital expenditure,-,"-15,45,200","-16,59,800","-19,85,600","-20,70,100"
Free cash flow,-,"2,07,91,500","1,88,64,700","1,61,92,300","1,25,89,000"
