,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,1,1,14,14
Avg. Estimate,224.52B,191.17B,972.53B,1.09T
Low estimate,224.52B,191.17B,921.74B,1.03T
High estimate,224.52B,191.17B,1.12T,1.26T
Year ago EPS,2.86,3.54,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,207.74B,231B,834.53B,972.53B
Sales growth (year/est),8.10%,-17.20%,16.50%,12.40%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,3.29,3.14,3.32,3.23
Actual EPS,2.86,3.54,3.14,2.94
Difference,-0.43,0.4,-0.18,-0.29
Surprise %,-13.10%,12.70%,-5.40%,-9.00%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,3.18,3.31,13.73,15.64
30 days ago,3.18,3.31,13.73,15.64
60 days ago,3.18,3.31,13.73,15.64
90 days ago,3.18,3.31,13.73,15.64
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,1
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,NTPC.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),10.73%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
