,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"20,89,700","38,81,100","36,38,300"
Other short-term investments,"94,26,100","2,68,19,300","1,43,74,700"
Total cash,"1,15,15,800","3,07,00,400","1,80,13,000"
Net receivables,"10,14,76,800","8,81,21,900","8,96,38,900"
Inventory,"8,11,94,300","6,14,02,900","6,58,61,300"
Other current assets,"3,43,62,900","75,17,600","53,57,900"
Total current assets,"48,91,65,600","39,99,45,100","30,53,25,800"
"Gross property, plant and equipment","2,72,53,66,000","2,31,37,78,800","2,03,43,35,900"
Accumulated depreciation,"-28,66,60,800","-20,54,74,800","-12,51,38,800"
"Net property, plant and equipment","2,43,87,05,200","2,10,83,04,000","1,90,91,97,100"
Intangible assets,"72,83,000","80,11,200","50,76,600"
Total non-current assets,"2,68,47,98,400","2,34,37,35,500","2,17,96,47,800"
Total assets,"3,17,39,64,000","2,74,36,80,600","2,48,49,73,600"
Current debt,"23,90,64,200","13,26,07,500","9,68,43,700"
Accounts payable,"8,51,76,200","6,70,75,500","5,57,27,000"
Other current liabilities,"1,57,61,900","1,21,06,500","1,39,71,200"
Total current liabilities,"59,72,97,600","45,64,98,600","39,04,35,900"
Long-term debt,"1,37,64,25,700","1,16,62,57,300","1,03,94,44,200"
Deferred tax liabilities,"4,19,97,200","2,40,81,400","1,48,48,600"
Deferred revenues,"2,37,50,600","2,33,14,900","2,42,43,300"
Total non-current liabilities,"1,46,96,48,200","1,24,20,69,600","1,10,81,24,900"
Total liabilities,"2,06,69,45,800","1,69,85,68,200","1,49,85,60,800"
Common stock,"9,89,45,600","8,24,54,600","8,24,54,600"
Retained earnings,"5,28,33,100","4,00,39,200","3,65,37,200"
Total stockholders' equity,"1,10,03,69,900","1,03,56,34,700","97,83,80,200"
Total liabilities and stockholders' equity,"3,17,39,64,000","2,74,36,80,600","2,48,49,73,600"
