,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"99,35,34,100","96,40,24,300","86,79,55,700","81,58,48,700"
Cost of revenue,"62,88,93,600","63,61,09,000","56,81,53,500","53,50,18,700"
Gross profit,"36,46,40,500","32,79,15,300","29,98,02,200","28,08,30,000"
Selling general and administrative,-,"73,83,400","36,16,100","39,10,000"
Total operating expenses,"12,99,86,500","10,83,78,700","10,58,51,900","8,19,96,500"
Operating income or loss,"23,46,54,000","21,95,36,600","19,39,50,300","19,88,33,500"
Interest expense,"12,17,13,200","10,74,52,400","10,95,23,800","8,48,80,900"
Income before tax,"14,81,97,200","13,62,79,400","12,52,92,700","13,76,05,500"
Income tax expense,"-3,24,38,600","-3,20,64,100","2,58,81,400","3,04,66,100"
Income from continuing operations,"18,06,35,800","16,83,43,500","9,94,11,300","10,71,39,400"
Net income,"14,26,42,400","12,64,00,200","10,54,39,500","10,71,96,400"
Net income available to common shareholders,"14,26,42,400","12,64,00,200","10,54,39,500","10,71,96,400"
Basic EPS,-,12.77,10.66,10.83
Diluted EPS,-,12.77,10.66,10.83
Basic average shares,-,"98,94,557","98,94,557","98,94,557"
Diluted average shares,-,"98,94,557","98,94,557","98,94,557"
EBITDA,-,"32,90,71,900","31,69,55,700","28,94,14,100"
