,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,175.33,176.88,174.79,176.42,128.41,"25,90,351"
08-Apr-2010,176.63,177.00,174.38,175.33,127.62,"26,65,147"
07-Apr-2010,175.00,176.63,174.25,176.21,128.26,"42,07,862"
06-Apr-2010,175.08,176.04,172.71,174.88,127.29,"53,29,093"
05-Apr-2010,173.33,174.46,172.08,174.17,126.77,"33,52,753"
01-Apr-2010,172.71,173.92,171.54,173.08,125.99,"36,47,561"
31-Mar-2010,169.17,173.50,168.92,172.71,125.71,"65,98,853"
30-Mar-2010,169.21,169.79,168.83,169.17,123.14,"25,11,181"
29-Mar-2010,168.79,169.92,167.88,169.33,123.26,"27,00,466"
26-Mar-2010,167.67,169.33,167.54,168.79,122.86,"22,60,156"
25-Mar-2010,169.63,169.63,165.04,167.21,121.71,"94,10,468"
23-Mar-2010,169.58,170.04,167.96,169.63,123.47,"31,97,042"
22-Mar-2010,169.17,169.17,167.17,168.17,122.41,"24,33,463"
19-Mar-2010,169.13,169.58,167.63,169.00,123.01,"23,56,193"
18-Mar-2010,169.58,169.58,167.58,167.88,122.20,"20,88,818"
17-Mar-2010,169.58,171.04,169.00,170.08,121.62,"35,15,582"
16-Mar-2010,168.21,169.88,168.04,169.21,120.99,"20,52,349"
15-Mar-2010,166.17,168.54,166.17,168.04,120.16,"28,60,820"
12-Mar-2010,169.58,169.75,166.58,166.75,119.24,"36,99,648"
11-Mar-2010,167.25,169.67,166.29,168.96,120.81,"32,07,786"
10-Mar-2010,169.83,170.13,166.29,167.00,119.41,"77,82,768"
09-Mar-2010,171.17,171.54,168.67,169.17,120.96,"38,19,248"
08-Mar-2010,170.88,173.25,169.75,170.96,122.24,"38,69,248"
05-Mar-2010,173.25,173.50,171.17,171.63,122.72,"41,50,608"
04-Mar-2010,173.33,173.63,171.83,172.38,123.26,"56,07,044"
03-Mar-2010,169.00,173.46,168.96,172.75,123.53,"80,25,310"
02-Mar-2010,169.50,170.83,168.54,168.96,120.81,"26,42,516"
26-Feb-2010,167.25,170.42,167.00,169.21,120.99,"1,30,10,078"
25-Feb-2010,170.75,170.75,166.17,166.75,119.24,"81,63,274"
24-Feb-2010,164.17,170.79,164.17,170.33,121.80,"64,11,043"
23-Feb-2010,168.33,168.83,167.71,168.04,120.16,"42,51,614"
22-Feb-2010,170.75,170.75,167.63,168.54,120.52,"50,54,958"
19-Feb-2010,168.33,170.71,165.71,168.17,120.25,"53,07,268"
18-Feb-2010,168.17,171.58,167.50,170.92,122.21,"26,94,157"
17-Feb-2010,170.42,170.58,167.63,168.17,120.25,"23,31,839"
16-Feb-2010,168.25,169.33,167.29,169.04,120.87,"12,19,861"
15-Feb-2010,170.00,170.38,167.58,167.96,120.10,"11,99,951"
11-Feb-2010,167.50,170.00,167.08,169.38,121.11,"20,19,036"
10-Feb-2010,171.13,171.67,166.75,167.08,119.47,"21,44,284"
09-Feb-2010,168.67,171.17,168.33,170.00,121.56,"21,34,168"
08-Feb-2010,173.33,173.33,167.71,168.67,120.61,"28,37,287"
06-Feb-2010,-,-,-,-,-,-
