,0,1,2
18-Mar-2010,3, ,Dividend
08-Sep-2010,0.8, ,Dividend
04-Feb-2011,3, ,Dividend
08-Sep-2011,0.8, ,Dividend
31-Jan-2012,3.5, ,Dividend
06-Sep-2012,0.5, ,Dividend
01-Mar-2013,3.75, ,Dividend
05-Sep-2013,0.75, ,Dividend
31-Jan-2014,4, ,Dividend
13-Aug-2014,1.75, ,Dividend
04-Feb-2015,0.75, ,Dividend
03-Sep-2015,1.75, ,Dividend
05-Feb-2016,1.6, ,Dividend
08-Sep-2016,1.75, ,Dividend
07-Feb-2018,2.275, ,Dividend
06-Sep-2018,1.99167, ,Dividend
19-Mar-2019,6:5, ,Stock split
26-Mar-2020,0.5, ,Dividend
