,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,1,1,7,6
Avg. Estimate,293.35B,295.33B,1.22T,1.28T
Low estimate,293.35B,295.33B,988.45B,1.04T
High estimate,293.35B,295.33B,1.81T,1.74T
Year ago EPS,3.91,4.61,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,229.96B,239.7B,850.04B,1.22T
Sales growth (year/est),27.60%,23.20%,44.10%,4.40%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,4.56,5.13,4.97,5.33
Actual EPS,3.91,4.61,4.79,6.44
Difference,-0.65,-0.52,-0.18,1.11
Surprise %,-14.30%,-10.10%,-3.60%,20.80%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,5.67,9.36,22.44,22.94
30 days ago,5.67,9.36,22.44,22.94
60 days ago,5.67,9.36,22.44,22.94
90 days ago,5.67,9.36,22.44,22.94
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,1,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,ONGC.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),16.51%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
