,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"21,42,70,010","30,49,49,610","22,10,59,280","20,49,78,730"
Depreciation & amortisation,-,"24,02,62,320","23,08,85,350","17,43,54,440"
Change in working capital,-,"-9,96,39,120","1,00,06,630","-16,07,510"
Inventory,-,"-4,66,98,490","-74,21,180","-1,36,38,250"
Other working capital,-,"18,75,58,290","13,40,45,280","6,02,96,490"
Other non-cash items,-,"4,58,28,980","1,90,02,780","-30,63,640"
Net cash provided by operating activities,-,"61,24,84,560","58,29,25,980","36,42,84,000"
"Investments in property, plant and equipment",-,"-42,49,26,270","-44,88,80,700","-30,39,87,510"
"Acquisitions, net",-,"-89,68,890","-37,69,14,850","-12,68,64,400"
Purchases of investments,-,"-22,46,150",-,"-63,07,970"
Sales/maturities of investments,-,"82,35,170","12,08,95,130","48,32,050"
Other investing activities,-,"-2,86,32,980","-2,95,68,590","-1,51,19,350"
Net cash used for investing activities,-,"-34,16,74,420","-66,52,13,710","-40,42,52,170"
Net change in cash,-,"1,08,51,410","-6,04,930","-1,30,42,380"
Cash at beginning of period,-,"-4,53,710","5,13,130","1,83,23,270"
Cash at end of period,-,"1,23,98,620","-4,53,700","1,11,28,180"
Operating cash flow,-,"61,24,84,560","58,29,25,980","36,42,84,000"
Capital expenditure,-,"-42,49,26,270","-44,88,80,700","-30,39,87,510"
Free cash flow,-,"18,75,58,290","13,40,45,280","6,02,96,490"
