,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,176.83,178.75,176.75,177.30,105.30,"29,96,088"
08-Apr-2010,181.12,181.12,176.18,176.93,105.08,"50,50,782"
07-Apr-2010,182.32,182.67,179.68,180.48,107.19,"29,97,648"
06-Apr-2010,182.83,182.83,179.67,180.81,107.38,"30,79,734"
05-Apr-2010,182.17,185.00,180.58,182.82,108.58,"25,21,854"
01-Apr-2010,183.50,184.50,179.96,180.74,107.35,"30,07,356"
31-Mar-2010,183.02,185.17,181.37,183.12,108.76,"60,04,680"
30-Mar-2010,182.75,185.35,182.00,182.88,108.62,"35,64,894"
29-Mar-2010,180.68,183.15,179.34,182.18,108.20,"29,26,800"
26-Mar-2010,176.67,180.67,176.67,179.98,106.89,"71,82,120"
25-Mar-2010,178.17,178.33,175.09,176.11,104.59,"66,17,802"
23-Mar-2010,177.04,179.01,176.38,178.21,105.84,"51,68,454"
22-Mar-2010,175.67,178.20,174.43,176.52,104.84,"41,46,252"
19-Mar-2010,176.33,177.17,174.19,176.14,104.61,"49,86,024"
18-Mar-2010,179.57,179.57,175.00,175.70,104.35,"70,20,342"
17-Mar-2010,179.83,180.65,178.33,178.92,106.26,"45,12,120"
16-Mar-2010,179.50,181.15,177.89,178.52,106.02,"58,40,634"
15-Mar-2010,180.78,181.21,177.59,178.30,105.89,"25,79,190"
12-Mar-2010,180.88,182.03,180.18,180.78,107.37,"67,32,840"
11-Mar-2010,182.17,182.17,179.47,180.63,107.28,"47,89,890"
10-Mar-2010,181.83,183.14,180.50,181.43,107.75,"72,31,278"
09-Mar-2010,183.75,184.17,181.83,182.70,108.51,"35,63,196"
08-Mar-2010,184.17,184.57,183.09,183.42,108.93,"65,50,692"
05-Mar-2010,185.00,185.00,181.83,182.42,108.34,"87,86,622"
04-Mar-2010,182.00,184.83,181.67,182.51,108.39,"63,90,648"
03-Mar-2010,185.50,186.04,181.43,183.48,108.97,"57,05,274"
02-Mar-2010,186.68,189.77,183.77,184.84,109.78,"55,67,304"
26-Feb-2010,185.82,188.93,182.50,186.27,110.63,"50,19,594"
25-Feb-2010,183.54,185.92,181.68,184.98,109.86,"26,57,376"
24-Feb-2010,184.16,184.64,181.01,183.54,109.01,"20,67,654"
23-Feb-2010,183.83,184.50,182.00,183.58,109.03,"36,67,074"
22-Feb-2010,185.00,186.67,183.64,184.58,109.63,"39,81,498"
19-Feb-2010,182.49,185.83,181.29,184.97,109.85,"38,20,998"
18-Feb-2010,177.50,184.83,177.50,183.92,109.23,"32,34,786"
17-Feb-2010,185.67,186.50,182.52,183.28,108.85,"33,98,442"
16-Feb-2010,183.30,185.00,180.35,183.83,109.18,"24,39,060"
15-Feb-2010,183.50,184.27,179.69,181.38,107.73,"23,29,152"
11-Feb-2010,189.50,189.50,181.83,183.38,108.91,"33,33,348"
10-Feb-2010,185.17,186.50,180.79,181.17,107.60,"51,41,856"
09-Feb-2010,186.36,188.14,183.60,184.38,109.50,"27,01,572"
08-Feb-2010,180.82,187.43,179.02,186.36,110.68,"41,35,308"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,186.20,187.83,180.18,181.27,107.66,"61,77,252"
04-Feb-2010,189.99,192.50,187.55,189.93,112.80,"1,28,28,696"
03-Feb-2010,185.08,190.18,184.50,188.97,112.23,"30,31,386"
02-Feb-2010,185.00,186.65,182.00,184.18,109.39,"43,62,108"
01-Feb-2010,181.00,184.79,181.00,183.59,109.04,"26,98,374"
29-Jan-2010,183.52,186.67,181.67,182.73,108.53,"48,27,714"
28-Jan-2010,186.50,188.93,179.17,183.73,109.12,"94,57,560"
27-Jan-2010,185.73,186.30,183.80,184.82,109.77,"36,37,746"
25-Jan-2010,186.85,187.80,183.42,186.84,110.97,"33,68,646"
22-Jan-2010,188.23,188.23,183.33,185.75,110.32,"1,04,79,762"
21-Jan-2010,194.17,196.10,188.52,189.99,112.84,"55,94,190"
20-Jan-2010,200.32,202.47,193.00,193.52,114.94,"81,13,314"
19-Jan-2010,202.00,202.82,198.00,199.47,118.47,"58,30,440"
18-Jan-2010,201.45,203.83,200.19,202.09,120.03,"31,82,250"
15-Jan-2010,205.29,206.23,200.37,201.63,119.75,"85,46,700"
14-Jan-2010,200.32,207.79,199.50,205.29,121.93,"85,84,284"
