,0,1,2
09-Sep-2010,15, ,Dividend
18-Aug-2011,0.75, ,Dividend
06-Jan-2012,6.25, ,Dividend
19-Mar-2012,1.5, ,Dividend
14-Sep-2012,2, ,Dividend
24-Dec-2012,5, ,Dividend
22-Mar-2013,4, ,Dividend
17-Sep-2013,0.5, ,Dividend
10-Dec-2013,5, ,Dividend
27-Mar-2014,4.25, ,Dividend
07-Sep-2015,0.5, ,Dividend
10-Nov-2015,4.5, ,Dividend
16-Mar-2016,0.75, ,Dividend
03-Nov-2016,4.5, ,Dividend
31-Aug-2016,3.25, ,Dividend
07-Feb-2017,2.25, ,Dividend
15-Dec-2016,3:2, ,Stock split
03-Nov-2017,3, ,Dividend
13-Mar-2018,2.25, ,Dividend
19-Sep-2018,1.35, ,Dividend
26-Mar-2019,1, ,Dividend
28-Feb-2019,5.25, ,Dividend
