,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,111.20,111.45,109.30,109.65,85.28,"12,47,906"
08-Apr-2010,112.00,112.90,108.15,111.15,86.44,"25,45,854"
07-Apr-2010,107.10,111.00,107.10,110.55,85.98,"22,12,031"
06-Apr-2010,108.00,108.00,106.90,107.20,83.37,"15,85,238"
05-Apr-2010,108.00,108.25,106.75,107.55,83.65,"8,12,294"
01-Apr-2010,107.50,107.60,106.50,106.65,82.95,"5,22,202"
31-Mar-2010,107.00,107.60,105.30,107.15,83.33,"9,67,142"
30-Mar-2010,106.75,107.50,106.50,106.70,82.98,"7,70,082"
29-Mar-2010,107.45,107.65,106.10,106.75,83.02,"11,12,468"
26-Mar-2010,106.55,107.50,105.85,106.75,83.02,"11,58,745"
25-Mar-2010,108.45,108.45,106.00,106.45,82.79,"17,59,579"
23-Mar-2010,107.75,108.90,106.80,107.95,83.96,"7,77,178"
22-Mar-2010,107.00,109.10,106.65,107.55,83.65,"12,25,366"
19-Mar-2010,106.00,109.25,105.60,108.20,84.15,"18,92,003"
18-Mar-2010,105.55,106.90,102.15,106.10,82.52,"12,69,713"
17-Mar-2010,105.10,106.85,105.10,106.35,82.71,"11,62,731"
16-Mar-2010,104.05,105.25,103.55,104.95,81.62,"9,50,678"
15-Mar-2010,106.50,106.50,104.20,104.65,81.39,"13,61,307"
12-Mar-2010,106.05,107.40,105.55,106.30,82.67,"43,94,944"
11-Mar-2010,109.00,110.20,106.10,106.80,83.06,"23,94,439"
10-Mar-2010,108.90,109.70,108.15,109.10,84.85,"8,84,447"
09-Mar-2010,110.00,110.40,108.50,108.80,84.62,"7,69,813"
08-Mar-2010,109.00,110.70,108.50,110.05,85.59,"11,24,426"
05-Mar-2010,109.00,109.65,108.00,108.25,84.19,"4,31,017"
04-Mar-2010,109.00,109.50,108.30,108.80,84.62,"6,51,271"
03-Mar-2010,106.55,109.00,106.55,108.70,84.54,"8,87,680"
02-Mar-2010,107.60,109.50,107.00,107.55,83.65,"4,39,018"
26-Feb-2010,107.00,108.90,106.00,107.55,83.65,"8,70,967"
25-Feb-2010,107.00,107.00,105.10,106.45,82.79,"9,28,189"
24-Feb-2010,106.20,106.90,105.65,106.25,82.63,"5,09,671"
23-Feb-2010,107.00,107.20,106.05,106.60,82.91,"4,50,665"
22-Feb-2010,107.40,108.35,106.75,107.00,83.22,"4,69,780"
19-Feb-2010,108.15,108.15,106.50,107.15,83.33,"7,12,740"
18-Feb-2010,107.25,109.45,106.20,108.15,84.11,"9,63,940"
17-Feb-2010,107.50,107.75,106.70,107.10,83.30,"5,56,754"
16-Feb-2010,105.00,107.50,104.80,106.75,83.02,"6,71,053"
15-Feb-2010,107.30,108.50,104.80,104.90,81.58,"8,86,071"
11-Feb-2010,107.50,108.25,106.95,107.05,83.26,"3,60,269"
10-Feb-2010,108.50,108.65,107.05,107.30,83.45,"5,75,632"
09-Feb-2010,108.10,109.00,107.55,108.10,84.07,"6,26,208"
08-Feb-2010,108.50,108.95,106.80,108.50,84.38,"10,30,116"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,110.60,111.00,107.00,107.40,83.53,"24,70,490"
04-Feb-2010,112.50,114.25,111.70,112.00,87.11,"12,68,404"
03-Feb-2010,114.00,114.25,112.50,112.95,87.84,"11,28,575"
02-Feb-2010,113.40,115.50,112.50,113.70,88.43,"19,50,076"
01-Feb-2010,112.25,113.65,112.00,112.95,87.84,"11,69,312"
29-Jan-2010,112.90,113.70,111.05,112.70,87.65,"22,47,911"
28-Jan-2010,115.90,117.95,108.30,113.90,88.58,"65,25,233"
27-Jan-2010,115.30,117.40,112.20,113.30,88.12,"46,42,270"
25-Jan-2010,114.30,117.00,112.05,115.30,89.67,"16,38,480"
22-Jan-2010,110.00,114.95,109.75,114.30,88.89,"27,80,532"
21-Jan-2010,116.50,117.45,113.05,113.65,88.39,"19,99,985"
20-Jan-2010,116.25,117.95,115.90,116.90,90.92,"20,79,957"
19-Jan-2010,117.50,118.90,115.65,116.25,90.41,"28,08,442"
18-Jan-2010,118.75,120.00,117.10,117.60,91.46,"22,98,275"
15-Jan-2010,118.35,121.45,117.35,118.65,92.28,"63,41,488"
14-Jan-2010,115.50,118.50,115.05,117.35,91.27,"37,95,356"
13-Jan-2010,113.25,115.50,111.80,114.95,89.40,"18,68,773"
12-Jan-2010,114.20,115.50,112.80,113.25,88.08,"14,45,189"
11-Jan-2010,116.00,116.25,114.60,114.90,89.36,"17,10,732"
08-Jan-2010,115.10,115.80,114.05,114.85,88.93,"21,43,102"
07-Jan-2010,113.90,115.25,112.70,114.55,88.70,"25,51,021"
06-Jan-2010,113.60,114.40,113.00,113.55,87.93,"31,21,853"
05-Jan-2010,113.00,114.40,112.25,112.75,87.31,"24,60,791"
04-Jan-2010,110.20,113.15,110.10,112.40,87.04,"24,48,797"
19-Jul-2010,99.10,101.40,99.10,100.05,77.81,"17,19,055"
16-Jul-2010,101.45,101.45,100.00,100.35,78.05,"7,36,779"
15-Jul-2010,101.50,101.65,100.55,100.75,78.36,"19,98,111"
14-Jul-2010,101.90,102.00,100.45,100.70,78.32,"16,47,283"
13-Jul-2010,100.80,101.45,100.25,101.00,78.55,"21,24,667"
12-Jul-2010,102.15,102.50,100.70,100.95,78.51,"23,56,072"
09-Jul-2010,102.50,102.70,101.65,101.95,79.29,"11,67,995"
08-Jul-2010,104.00,104.00,101.85,102.00,79.33,"12,08,165"
07-Jul-2010,103.00,104.80,102.55,102.70,79.87,"23,06,081"
06-Jul-2010,102.10,102.45,101.80,102.05,79.37,"4,30,616"
05-Jul-2010,103.00,103.90,100.00,102.10,79.41,"7,92,925"
02-Jul-2010,103.60,104.25,103.10,103.55,80.53,"8,62,966"
01-Jul-2010,103.70,104.05,102.50,103.25,80.30,"8,15,805"
30-Jun-2010,102.00,104.50,101.60,104.10,80.96,"15,23,393"
29-Jun-2010,103.75,104.75,102.10,102.55,79.76,"8,67,531"
28-Jun-2010,101.40,103.75,101.40,103.25,80.30,"13,50,735"
25-Jun-2010,101.10,102.20,100.90,101.35,78.82,"9,40,975"
24-Jun-2010,102.10,102.80,101.00,101.45,78.90,"13,10,272"
23-Jun-2010,102.00,102.85,101.90,102.30,79.56,"7,62,387"
