,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"5,96,55,40,000","5,96,55,40,000","5,66,97,60,000","3,91,77,20,000","3,05,14,20,000"
Cost of revenue,"4,51,24,70,000","4,51,24,70,000","4,43,50,50,000","3,07,70,70,000","2,44,09,20,000"
Gross profit,"1,45,30,70,000","1,45,30,70,000","1,23,47,10,000","84,06,50,000","61,05,00,000"
Selling general and administrative,"24,26,20,000","24,26,20,000","19,59,20,000","14,17,10,000","14,67,20,000"
Total operating expenses,"79,03,60,000","79,03,60,000","60,40,40,000","36,45,60,000","26,38,90,000"
Operating income or loss,"66,27,10,000","66,27,10,000","63,06,70,000","47,60,90,000","34,66,10,000"
Interest expense,"19,93,50,000","19,93,50,000","15,51,40,000","7,29,70,000","3,15,80,000"
Income before tax,"53,60,60,000","53,60,60,000","55,22,70,000","49,42,60,000","40,03,40,000"
Income tax expense,"13,72,60,000","13,72,60,000","15,39,00,000","13,34,60,000","10,20,10,000"
Income from continuing operations,"39,88,00,000","39,88,00,000","39,83,70,000","36,08,00,000","29,83,30,000"
Net income,"39,35,40,000","39,35,40,000","39,58,80,000","36,07,50,000","29,90,10,000"
Net income available to common shareholders,"39,35,40,000","39,35,40,000","39,58,80,000","36,07,50,000","29,90,10,000"
Basic EPS,-,-,66.19,60.37,50.19
Diluted EPS,-,-,66.17,60.32,50.10
Basic average shares,-,-,"59,80,961","59,75,926","59,57,571"
Diluted average shares,-,-,"59,82,387","59,81,031","59,68,863"
EBITDA,-,"95,74,40,000","91,67,50,000","73,42,90,000","54,83,80,000"
