Insider,Insider Type,Type,Date,Shares
Rajagopal (S),UNREPORTED,Direct,11-Jun-2020,"3,620"
Sethi (Bharat Bhushan),UNREPORTED,Direct,11-Jun-2020,494
Jain (Pradeep Kumar),UNREPORTED,Direct,11-Jun-2020,"43,294"
P (Krishnadas),UNREPORTED,Direct,11-Jun-2020,"16,934"
Bhandari (Umesh U),UNREPORTED,Direct,11-Jun-2020,"11,579"
Borar (Chandra Shekhar),UNREPORTED,Direct,11-Jun-2020,"32,420"
Dawda (Arunkant Giridhardas),UNREPORTED,Direct,07-May-2020,400
Jhalaria (Kishor),UNREPORTED,Direct,01-Jun-2020,"1,532"
Ramesh (S),UNREPORTED,Direct,03-Jun-2020,"2,260"
Mandelkar (Jayant Manohar),UNREPORTED,Direct,11-Jun-2020,"9,800"
Jambusaria (Nihar),UNREPORTED,Direct,16-Jun-2020,"1,900"
Jain (Pavan Kumar),UNREPORTED,Direct,08-May-2020,500
Dayal (Atul S),UNREPORTED,Direct,11-Jun-2020,"3,320"
Desai (Hemant Ishwarlala),UNREPORTED,Direct,11-Jun-2020,"13,865"
Devarshi Commercials L.L.P.,Promoter,Direct,27-Mar-2020,"86,552,244"
Kapil (Pawan Kumar),UNREPORTED,Direct,11-Jun-2020,"3,533"
"Exotic Officeinfra, Pvt. Ltd.",Promoter,Direct,11-Jun-2020,"2,298"
Ramasubramonian (S),UNREPORTED,Direct,04-May-2020,"1,740"
Rao (Sudarsana K),UNREPORTED,Direct,11-Jun-2020,"4,313"
"Reliance Industrial Investment & Holdings, Ltd.",Promoter,Direct,11-Jun-2020,"46,477,130"
Reliance Welfare Association,Promoter,Direct,11-Jun-2020,"334,061"
Srichakra Commercials L.L.P,Promoter,Direct,11-Jun-2020,"50,704,555"
Venkatachari (Srikanth),UNREPORTED,Direct,11-Jun-2020,"20,290"
Shah (Harish D),UNREPORTED,Direct,11-Jun-2020,"120,106"
Shreeji Comtrade L.L.P.,Promoter,Direct,11-Jun-2020,"982,965"
Shrikrishna Tradecom L.L.P.,Promoter,Direct,11-Jun-2020,"982,965"
Samarjit Enterprises L.L.P.,Promoter,Direct,25-Mar-2020,"116,081,170"
Subramaniam (K V),UNREPORTED,Direct,11-Jun-2020,"5,154"
Svar Enterprises L.L.P,Promoter,Direct,11-Jun-2020,"849,335"
Tattvam Enterprises L.L.P.,Promoter,Direct,27-Mar-2020,"76,735,388"
Tayal (Dhruv Kumar),UNREPORTED,Direct,11-Jun-2020,"16,945"
