,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,2,2,30,31
Avg. Estimate,302.65B,344.56B,1.26T,1.42T
Low estimate,297.59B,324.15B,1.17T,1.19T
High estimate,307.7B,364.96B,1.34T,1.58T
Year ago EPS,-2.8,-8.92,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,267.72B,324.69B,1.14T,1.26T
Sales growth (year/est),13.00%,6.10%,10.60%,13.00%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,1.33,0.78,-0.35,1.21
Actual EPS,-2.8,-8.92,-5.46,-0.69
Difference,-4.13,-9.7,-5.11,-1.9
Surprise %,-310.50%,"-1,243.60%","-1,460.00%",-157.00%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,2.94,5.34,7.97,29.05
30 days ago,2.94,5.34,7.97,29.05
60 days ago,2.94,5.34,7.97,29.05
90 days ago,2.94,5.34,7.97,29.05
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,1,N/A,1,2
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,2,N/A
Growth estimates,SBIN.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),-17.30%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
