,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,210.00,212.50,209.35,210.61,92.12,"1,23,67,190"
08-Apr-2010,210.50,210.98,208.76,209.59,91.67,"1,14,97,010"
07-Apr-2010,213.03,213.50,209.60,211.09,92.33,"1,30,04,150"
06-Apr-2010,214.39,214.77,211.21,212.35,92.88,"1,23,59,300"
05-Apr-2010,211.50,214.22,210.50,213.82,93.52,"1,10,75,350"
01-Apr-2010,208.00,210.80,207.53,210.26,91.96,"76,81,450"
31-Mar-2010,208.50,209.89,207.34,207.82,90.90,"99,97,220"
30-Mar-2010,209.51,212.20,207.50,208.26,91.09,"1,19,29,880"
29-Mar-2010,207.50,210.50,207.30,209.51,91.63,"1,12,31,550"
26-Mar-2010,205.49,207.80,204.51,207.29,90.66,"1,34,22,710"
25-Mar-2010,204.46,206.16,202.52,204.96,89.64,"1,36,46,480"
23-Mar-2010,204.20,205.66,201.86,204.85,89.60,"1,36,50,500"
22-Mar-2010,202.51,205.38,201.00,204.10,89.27,"1,11,51,560"
19-Mar-2010,204.00,206.59,203.33,205.85,90.03,"1,28,89,130"
18-Mar-2010,203.00,205.05,201.05,202.96,88.77,"1,42,69,070"
17-Mar-2010,202.01,204.20,201.57,202.73,88.67,"1,07,77,370"
16-Mar-2010,201.71,202.50,199.76,201.59,88.17,"1,28,57,170"
15-Mar-2010,203.95,204.48,201.11,201.51,88.14,"89,97,490"
12-Mar-2010,204.20,206.26,203.87,204.79,89.57,"1,20,33,430"
11-Mar-2010,204.00,205.28,201.83,204.57,89.48,"1,19,79,800"
10-Mar-2010,205.02,205.02,202.64,203.73,89.10,"1,27,67,630"
09-Mar-2010,203.26,207.80,203.26,204.46,89.43,"1,43,05,280"
08-Mar-2010,206.00,211.25,203.31,206.60,90.36,"3,86,64,790"
05-Mar-2010,204.50,205.90,202.11,204.72,89.54,"1,26,85,070"
04-Mar-2010,202.30,204.47,201.20,203.27,88.91,"1,43,01,070"
03-Mar-2010,198.91,202.59,198.91,202.24,88.45,"1,58,43,680"
02-Mar-2010,199.05,201.10,197.42,198.66,86.89,"1,93,47,350"
26-Feb-2010,192.50,203.20,191.50,197.43,86.35,"4,32,15,190"
25-Feb-2010,192.50,193.00,190.34,191.37,83.70,"2,16,15,960"
24-Feb-2010,190.60,193.00,190.00,192.13,84.03,"81,73,590"
23-Feb-2010,191.49,193.45,190.66,191.19,83.62,"1,06,25,770"
22-Feb-2010,192.00,193.50,191.01,191.63,83.82,"1,15,28,650"
19-Feb-2010,192.50,193.40,189.01,190.53,83.33,"1,58,63,020"
18-Feb-2010,195.79,196.00,192.73,194.24,84.96,"1,31,03,230"
17-Feb-2010,193.50,196.25,192.73,195.68,85.59,"1,34,68,360"
16-Feb-2010,191.40,192.50,189.50,192.06,84.00,"80,70,150"
15-Feb-2010,192.50,192.50,188.63,189.50,82.88,"1,33,25,010"
11-Feb-2010,192.39,194.00,191.10,191.76,83.87,"1,24,27,940"
10-Feb-2010,197.00,197.00,189.50,191.18,83.62,"1,97,31,930"
09-Feb-2010,193.10,195.80,192.50,195.03,85.30,"1,38,36,980"
08-Feb-2010,190.00,194.78,188.37,193.65,84.70,"1,88,85,130"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,193.00,193.00,186.31,189.78,83.01,"2,68,78,830"
04-Feb-2010,199.60,199.67,194.00,194.79,80.82,"3,53,57,120"
03-Feb-2010,198.63,201.59,198.35,199.88,82.93,"3,04,50,710"
02-Feb-2010,203.02,204.52,197.41,197.84,82.09,"2,40,86,260"
01-Feb-2010,214.80,214.80,201.55,202.13,83.87,"2,20,47,160"
29-Jan-2010,199.00,206.74,195.51,205.66,85.33,"4,64,87,190"
28-Jan-2010,210.00,210.00,199.10,200.32,83.12,"2,79,52,460"
27-Jan-2010,206.00,206.84,197.11,198.76,82.47,"3,80,68,910"
25-Jan-2010,205.55,213.70,205.55,209.16,86.79,"1,53,78,040"
22-Jan-2010,210.01,210.65,205.30,208.74,86.61,"2,71,93,180"
21-Jan-2010,215.90,216.13,211.23,212.41,88.13,"1,92,65,470"
20-Jan-2010,218.40,218.66,215.26,215.99,89.62,"1,68,30,720"
19-Jan-2010,216.98,218.70,215.70,217.31,90.17,"1,22,77,070"
18-Jan-2010,217.50,218.30,214.28,215.64,89.47,"1,92,22,170"
15-Jan-2010,216.80,217.84,213.68,214.34,88.93,"2,06,11,920"
14-Jan-2010,218.80,219.90,214.55,215.74,89.51,"2,07,23,990"
13-Jan-2010,219.50,219.50,215.81,217.59,90.28,"2,17,19,690"
12-Jan-2010,226.70,227.00,219.62,220.32,91.42,"2,29,17,720"
11-Jan-2010,229.70,231.27,226.32,226.72,94.07,"1,41,45,340"
08-Jan-2010,229.40,230.39,228.01,228.60,94.85,"1,04,53,820"
07-Jan-2010,230.60,231.00,228.11,229.29,95.14,"85,76,510"
06-Jan-2010,229.70,231.50,228.50,230.58,95.67,"1,45,27,930"
05-Jan-2010,230.80,231.00,228.01,229.21,95.10,"1,16,13,740"
04-Jan-2010,227.50,230.00,227.50,229.12,95.07,"1,10,31,470"
19-Jul-2010,243.90,246.30,242.60,245.52,117.69,"76,30,370"
16-Jul-2010,244.50,246.48,242.81,244.90,117.39,"95,28,070"
15-Jul-2010,247.05,247.30,243.40,243.99,116.96,"81,62,390"
14-Jul-2010,243.70,247.90,243.70,246.45,118.14,"1,81,59,640"
13-Jul-2010,240.10,243.71,239.01,242.91,116.44,"1,76,15,470"
12-Jul-2010,237.51,241.20,237.01,240.07,115.08,"1,49,48,170"
09-Jul-2010,236.50,237.85,236.01,236.89,113.55,"98,03,290"
08-Jul-2010,231.50,236.68,231.50,235.68,112.97,"1,75,62,290"
07-Jul-2010,230.90,231.90,229.10,230.41,110.45,"89,12,210"
06-Jul-2010,227.30,231.90,226.84,231.28,110.87,"1,01,43,910"
05-Jul-2010,226.51,229.40,225.35,227.25,108.93,"61,92,550"
02-Jul-2010,226.50,227.99,225.74,226.51,108.58,"89,07,340"
01-Jul-2010,229.11,229.90,225.40,226.23,108.44,"1,42,19,900"
30-Jun-2010,227.98,231.20,227.50,230.20,110.35,"1,06,10,400"
29-Jun-2010,230.50,232.89,228.12,229.12,109.83,"1,42,08,420"
28-Jun-2010,228.80,231.45,227.50,230.37,110.43,"1,07,18,170"
25-Jun-2010,235.01,235.50,228.50,230.08,110.29,"1,30,22,720"
24-Jun-2010,235.00,236.60,233.80,235.76,113.01,"1,21,23,400"
23-Jun-2010,235.00,235.80,232.85,234.96,112.63,"1,08,49,420"
22-Jun-2010,237.50,239.40,235.01,235.46,112.87,"85,14,510"
21-Jun-2010,237.50,240.27,237.50,238.78,114.46,"88,79,250"
18-Jun-2010,234.99,237.99,234.00,237.26,113.73,"1,55,97,620"
17-Jun-2010,235.90,236.20,232.35,235.09,112.69,"1,03,31,080"
16-Jun-2010,241.70,241.70,234.54,236.17,113.21,"1,41,41,550"
15-Jun-2010,234.99,237.43,232.00,236.42,113.33,"1,53,05,340"
14-Jun-2010,234.50,235.99,232.60,234.50,112.41,"1,01,87,660"
11-Jun-2010,263.01,263.01,232.61,233.99,112.16,"1,50,63,270"
10-Jun-2010,226.60,233.80,226.60,232.68,111.54,"2,44,96,840"
09-Jun-2010,228.50,230.90,225.80,227.25,108.93,"1,81,41,760"
08-Jun-2010,228.80,233.15,226.86,228.38,99.89,"1,40,18,340"
07-Jun-2010,225.12,232.00,223.29,228.68,100.02,"1,49,25,200"
04-Jun-2010,229.00,234.80,227.90,234.07,102.38,"1,94,78,740"
03-Jun-2010,226.51,230.60,226.51,228.73,100.04,"1,25,87,190"
02-Jun-2010,221.22,226.70,221.00,225.82,98.77,"1,23,42,500"
01-Jun-2010,225.11,227.60,220.21,220.96,96.64,"1,44,23,360"
31-May-2010,223.00,227.45,223.00,226.88,99.23,"1,19,89,040"
28-May-2010,224.40,225.88,220.32,223.94,97.95,"1,35,67,960"
27-May-2010,217.00,224.80,215.73,221.94,97.07,"2,17,81,920"
26-May-2010,217.18,218.60,215.16,217.36,95.07,"1,65,00,270"
25-May-2010,222.00,222.00,213.80,215.51,94.26,"1,73,55,820"
24-May-2010,228.20,231.10,222.29,223.12,97.59,"1,51,95,470"
21-May-2010,222.20,228.00,221.04,227.12,99.34,"1,57,06,440"
20-May-2010,222.20,228.20,222.11,226.75,99.17,"1,70,39,960"
19-May-2010,226.00,227.30,219.00,221.41,96.84,"2,04,15,020"
18-May-2010,224.79,229.80,223.13,228.00,99.72,"1,89,01,340"
17-May-2010,221.00,227.20,214.13,225.07,98.44,"2,57,03,050"
14-May-2010,231.50,233.39,221.16,222.43,97.28,"3,30,08,880"
13-May-2010,233.20,234.90,230.62,231.77,101.37,"1,77,62,910"
12-May-2010,229.00,233.90,228.20,232.42,101.65,"2,02,04,040"
11-May-2010,231.40,233.90,228.12,228.79,100.06,"1,83,77,970"
10-May-2010,225.00,232.51,224.21,230.79,100.94,"1,47,91,690"
07-May-2010,227.52,229.18,221.84,222.62,97.37,"1,60,85,350"
06-May-2010,228.00,232.00,226.23,231.16,101.10,"1,77,51,300"
05-May-2010,226.00,228.50,224.05,227.62,99.56,"1,67,17,010"
04-May-2010,230.50,231.59,227.31,228.01,99.73,"1,33,97,620"
03-May-2010,229.00,230.50,227.71,229.71,100.47,"1,31,60,890"
30-Apr-2010,228.00,231.89,228.00,230.07,100.63,"1,91,46,310"
29-Apr-2010,224.00,228.50,223.50,227.40,99.46,"2,13,93,940"
28-Apr-2010,220.40,225.18,218.25,223.22,97.63,"1,86,84,250"
27-Apr-2010,225.20,225.50,220.91,221.78,97.00,"1,10,94,760"
26-Apr-2010,226.40,227.90,224.11,225.15,98.48,"1,21,45,600"
23-Apr-2010,223.00,229.40,221.10,226.06,98.87,"3,17,84,560"
22-Apr-2010,208.21,224.89,208.21,222.31,97.23,"6,53,06,760"
21-Apr-2010,211.00,211.90,208.66,210.58,92.10,"1,56,33,000"
20-Apr-2010,204.24,210.66,202.10,209.84,91.78,"2,49,93,280"
19-Apr-2010,203.99,204.49,201.20,203.24,88.89,"92,50,600"
16-Apr-2010,205.00,205.49,202.52,204.77,89.56,"94,66,180"
15-Apr-2010,209.66,210.90,204.80,205.40,89.84,"1,30,16,220"
13-Apr-2010,209.70,211.20,206.30,209.40,91.58,"1,76,19,090"
12-Apr-2010,211.50,211.50,208.00,209.20,91.50,"86,14,120"
27-Oct-2010,317.94,321.38,315.67,318.79,152.81,"84,11,000"
26-Oct-2010,323.40,323.40,317.40,318.08,152.47,"1,40,37,350"
25-Oct-2010,320.90,325.24,320.80,323.92,155.27,"94,32,490"
22-Oct-2010,320.00,322.20,317.10,320.62,153.69,"1,20,25,260"
21-Oct-2010,310.80,320.95,310.61,319.51,153.16,"1,29,52,060"
20-Oct-2010,310.50,313.39,307.60,309.43,148.33,"1,28,89,050"
19-Oct-2010,318.48,320.40,310.57,311.66,149.40,"1,18,11,670"
18-Oct-2010,318.50,320.94,313.29,316.77,151.85,"1,72,99,680"
15-Oct-2010,328.10,328.10,315.02,316.57,151.75,"1,41,98,900"
14-Oct-2010,331.50,332.48,324.82,326.14,156.34,"67,00,620"
13-Oct-2010,323.99,331.50,322.30,330.56,158.46,"1,54,32,970"
12-Oct-2010,325.50,326.58,320.16,323.36,155.01,"75,47,160"
11-Oct-2010,325.80,327.35,324.52,326.50,156.51,"65,59,420"
08-Oct-2010,321.80,326.79,321.50,324.74,155.67,"94,32,630"
07-Oct-2010,323.60,324.69,320.80,321.99,154.35,"85,27,160"
06-Oct-2010,325.50,327.79,322.45,323.33,154.99,"78,65,720"
05-Oct-2010,325.50,327.51,323.72,324.80,155.69,"96,20,340"
04-Oct-2010,327.50,329.99,324.52,325.96,156.25,"1,21,02,230"
01-Oct-2010,323.94,328.80,322.10,327.21,156.85,"1,64,51,380"
30-Sep-2010,319.90,327.47,317.50,324.05,155.33,"3,08,06,190"
29-Sep-2010,319.00,322.50,318.62,319.57,153.19,"1,48,36,720"
28-Sep-2010,317.90,320.99,316.33,319.07,152.95,"1,45,99,770"
27-Sep-2010,314.50,319.98,314.50,318.07,152.47,"1,23,17,840"
24-Sep-2010,313.51,316.00,312.33,314.14,150.58,"1,08,02,760"
23-Sep-2010,315.80,316.50,312.63,313.95,150.49,"1,37,51,230"
