,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,1,1,26,26
Avg. Estimate,28.53B,35.96B,120.5B,143.49B
Low estimate,28.53B,35.96B,112.57B,131.07B
High estimate,28.53B,35.96B,132.61B,164.83B
Year ago EPS,95.68,114.6,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,22.96B,28.11B,98.33B,120.5B
Sales growth (year/est),24.20%,27.90%,22.50%,19.10%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,92.85,96.43,101.08,54.88
Actual EPS,95.68,114.6,80.22,14.16
Difference,2.83,18.17,-20.86,-40.72
Surprise %,3.00%,18.80%,-20.60%,-74.20%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,72.5,115.69,402.95,549.45
30 days ago,72.5,115.69,402.95,549.45
60 days ago,72.5,115.69,402.95,549.45
90 days ago,72.5,115.69,402.95,549.45
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,2,2
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,SHREECEM.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),26.59%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
