,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"1,53,58,500","1,53,58,500","1,01,50,500","1,38,41,500","1,33,90,800"
Depreciation & amortisation,"1,80,78,100","1,80,78,100","1,47,18,100","89,94,000","1,21,47,100"
Change in working capital,"69,26,900","69,26,900","-65,04,800","-11,30,700","-5,09,300"
Inventory,"18,08,500","18,08,500","-6,19,100","-25,45,200","-49,93,100"
Other working capital,"2,42,84,100","2,42,84,100","14,36,000","-64,90,100","90,53,600"
Other non-cash items,"11,54,200","11,54,200","8,25,900","-7,39,900","-12,10,100"
Net cash provided by operating activities,"3,97,31,800","3,97,31,800","2,08,00,200","1,87,87,200","2,20,16,100"
"Investments in property, plant and equipment","-1,54,47,700","-1,54,47,700","-1,93,64,200","-2,52,77,300","-1,29,62,500"
"Acquisitions, net",0,0,"-2,00,81,000",-,-
Purchases of investments,"-4,81,47,100","-4,81,47,100","-23,56,300","-2,81,18,900","-1,33,44,700"
Sales/maturities of investments,"56,53,200","56,53,200","3,19,42,300","97,55,400","17,87,500"
Other investing activities,"-24,000","-24,000","-1,400","-2,500","-17,700"
Net cash used for investing activities,"-5,59,87,100","-5,59,87,100","-72,15,200","-3,59,47,300","-2,04,77,700"
Net change in cash,"-4,44,700","-4,44,700","8,25,100","1,02,100","-1,30,700"
Cash at beginning of period,"11,77,200","11,77,200","3,35,200","2,33,100","3,63,800"
Cash at end of period,"8,16,900","8,16,900","11,77,200","3,35,200","2,33,100"
Operating cash flow,"3,97,31,800","3,97,31,800","2,08,00,200","1,87,87,200","2,20,16,100"
Capital expenditure,"-1,54,47,700","-1,54,47,700","-1,93,64,200","-2,52,77,300","-1,29,62,500"
Free cash flow,"2,42,84,100","2,42,84,100","14,36,000","-64,90,100","90,53,600"
