,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"12,60,69,600","12,60,69,600","12,26,17,800","9,84,55,000","8,39,86,900"
Cost of revenue,"1,23,95,700","1,23,95,700","1,25,63,900","94,74,300","84,16,100"
Gross profit,"11,36,73,900","11,36,73,900","11,00,53,900","8,89,80,700","7,55,70,800"
Selling general and administrative,"28,99,100","28,99,100","27,12,100","20,87,200","22,61,000"
Total operating expenses,"9,41,18,900","9,41,18,900","9,50,70,400","7,24,96,600","6,21,72,100"
Operating income or loss,"1,95,55,000","1,95,55,000","1,49,83,500","1,64,84,100","1,33,98,700"
Interest expense,"28,86,600","28,86,600","19,62,900","12,40,800","12,75,700"
Income before tax,"1,93,42,600","1,93,42,600","1,14,56,400","1,82,71,300","1,53,07,800"
Income tax expense,"39,02,000","39,02,000","13,05,900","44,29,800","19,17,000"
Income from continuing operations,"1,54,40,600","1,54,40,600","1,01,50,500","1,38,41,500","1,33,90,800"
Net income,"1,53,58,500","1,53,58,500","1,01,50,500","1,38,41,500","1,33,90,800"
Net income available to common shareholders,"1,53,58,500","1,53,58,500","1,01,50,500","1,38,41,500","1,33,90,800"
Basic EPS,-,435.35,288.88,397.32,384.38
Diluted EPS,-,435.35,288.88,397.32,384.38
Basic average shares,-,"35,279","34,837","34,837","34,837"
Diluted average shares,-,"35,279","34,837","34,837","34,837"
EBITDA,-,"4,03,07,300","2,81,37,400","2,85,06,100","2,87,30,600"
