Insider,Insider Type,Type,Date,Shares
Bangur (Prashant),President,Direct,20-Jul-2010,"20,000"
Bangur (Benu Gopal),Chairman of the Board,Direct,20-Jul-2010,"100,000"
Bangur (Ranu),UNREPORTED,Direct,29-Aug-2013,"20,000"
Bangur (Harimohan),UNREPORTED,Direct,30-Jun-2010,"10,000"
Laxmi Salt Company Ltd,Promoter,Direct,22-Sep-2016,"24,600"
Asish Creations Pvt. Ltd.,Promoter,Direct,22-Sep-2016,"24,600"
Sharma (Ramakant),Director,Direct,27-Dec-2013,25
Maheshwari (Padma Devi),UNREPORTED,Direct,10-Aug-2012,800
Jain (Riya Puja),UNREPORTED,Direct,09-Aug-2012,454
Singhi (Mahendra Kumar),Director,Direct,21-Jul-2010,"1,634"
