,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,4,4,34,34
Avg. Estimate,75.34B,77.28B,296.48B,336.05B
Low estimate,73.08B,71.59B,279.96B,299.91B
High estimate,78.84B,87.16B,317.94B,366.2B
Year ago EPS,3.61,5.5,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,66.53B,69.77B,264.89B,296.48B
Sales growth (year/est),13.20%,10.80%,11.90%,13.30%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,3.79,4.22,3.81,4.35
Actual EPS,3.61,5.5,4.09,4.14
Difference,-0.18,1.28,0.28,-0.21
Surprise %,-4.70%,30.30%,7.30%,-4.80%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,4.1,4.13,16.82,22.53
30 days ago,4.1,4.13,16.82,22.53
60 days ago,4.1,4.13,16.82,22.53
90 days ago,4.1,4.13,16.82,22.53
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,1,1,1
Up last 30 days,N/A,1,2,1
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,SUNPHARMA.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),27.94%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
