,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"4,00,09,700","2,66,54,200","2,16,15,500","6,96,43,700"
Depreciation & amortisation,-,"1,75,32,500","1,49,98,400","1,26,47,500"
Stock-based compensation,-,0,"-1,000","32,300"
Change in working capital,-,"-2,69,60,000","-21,23,100","-40,92,100"
Inventory,-,"-70,90,000","-40,000","-34,49,900"
Other working capital,-,"-1,01,63,700","1,94,63,700","3,38,93,500"
Other non-cash items,-,"-12,04,100","-1,92,500","-3,32,200"
Net cash provided by operating activities,-,"2,19,64,500","3,90,71,500","7,08,22,100"
"Investments in property, plant and equipment",-,"-3,21,28,200","-1,96,07,800","-3,69,28,600"
"Acquisitions, net",-,"-2,28,000","-8,55,000","-16,71,800"
Purchases of investments,-,"-35,84,43,400","-42,26,79,100","-45,58,97,000"
Sales/maturities of investments,-,"37,59,67,800","41,59,10,800","44,71,68,200"
Other investing activities,-,-,-,"10,600"
Net cash used for investing activities,-,"-68,12,500","-3,37,08,100","-4,22,16,000"
Net change in cash,-,"-1,21,53,200","-1,00,29,200","57,52,200"
Cash at beginning of period,-,"7,90,64,500","8,64,23,600","8,03,16,900"
Cash at end of period,-,"7,06,23,000","7,90,64,500","8,64,23,600"
Operating cash flow,-,"2,19,64,500","3,90,71,500","7,08,22,100"
Capital expenditure,-,"-3,21,28,200","-1,96,07,800","-3,69,28,600"
Free cash flow,-,"-1,01,63,700","1,94,63,700","3,38,93,500"
