,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,177.99,179.70,176.50,176.95,153.40,"8,99,640"
08-Apr-2010,181.00,182.10,176.80,177.35,153.75,"14,80,810"
07-Apr-2010,181.20,181.20,179.01,179.68,155.77,"18,13,120"
06-Apr-2010,182.80,184.88,181.04,182.18,157.94,"9,15,050"
05-Apr-2010,181.00,185.30,180.00,184.17,159.66,"14,64,850"
01-Apr-2010,179.50,181.20,178.01,180.40,156.39,"16,76,080"
31-Mar-2010,177.50,179.78,175.00,179.20,155.35,"20,12,990"
30-Mar-2010,180.60,180.60,174.25,175.32,151.99,"12,70,730"
29-Mar-2010,176.45,181.20,175.10,180.08,156.11,"20,78,100"
26-Mar-2010,175.50,178.50,174.05,176.97,153.42,"13,98,310"
25-Mar-2010,169.00,177.00,169.00,174.99,151.70,"32,02,560"
23-Mar-2010,171.00,171.79,168.12,169.04,146.54,"13,88,000"
22-Mar-2010,168.20,170.90,167.61,170.60,147.89,"9,61,970"
19-Mar-2010,170.00,170.48,167.50,169.81,147.21,"12,37,280"
18-Mar-2010,168.73,170.52,168.52,169.78,147.18,"10,78,760"
17-Mar-2010,168.80,172.29,166.20,168.77,146.31,"25,94,110"
16-Mar-2010,163.80,167.98,161.30,167.26,144.99,"11,26,450"
15-Mar-2010,165.00,166.30,161.35,162.30,140.70,"16,67,150"
12-Mar-2010,170.00,171.00,164.49,165.55,143.52,"31,16,460"
11-Mar-2010,163.51,170.59,163.51,169.32,146.78,"22,64,970"
10-Mar-2010,165.50,166.20,164.00,164.37,142.49,"8,46,760"
09-Mar-2010,163.50,166.20,163.02,165.48,143.46,"13,21,800"
08-Mar-2010,162.00,164.98,161.10,163.96,142.14,"16,22,100"
05-Mar-2010,158.50,161.82,157.02,161.27,139.81,"14,32,040"
04-Mar-2010,155.85,159.50,155.01,158.68,137.56,"12,49,950"
03-Mar-2010,154.20,157.85,153.01,156.18,135.40,"26,54,430"
02-Mar-2010,154.70,156.79,153.12,155.15,134.50,"16,16,660"
26-Feb-2010,151.80,157.90,150.90,153.97,133.48,"16,03,740"
25-Feb-2010,152.00,154.50,150.50,152.07,131.83,"17,63,060"
24-Feb-2010,156.60,157.19,152.20,152.75,132.42,"15,46,110"
23-Feb-2010,153.50,157.86,153.50,157.04,136.14,"16,64,490"
22-Feb-2010,156.20,156.68,153.12,153.58,133.14,"5,89,910"
19-Feb-2010,153.21,156.37,151.71,154.99,134.36,"12,34,270"
18-Feb-2010,155.90,155.90,153.31,154.51,133.95,"4,91,460"
17-Feb-2010,154.30,157.00,152.91,154.18,133.65,"14,27,580"
16-Feb-2010,153.01,156.30,152.76,154.45,133.89,"16,86,250"
15-Feb-2010,151.88,153.99,150.60,152.81,132.47,"7,90,530"
11-Feb-2010,151.90,153.45,151.00,152.04,131.80,"8,41,350"
10-Feb-2010,153.50,153.60,150.30,150.96,130.86,"13,90,320"
09-Feb-2010,151.80,155.10,149.50,154.24,133.71,"16,26,630"
08-Feb-2010,149.80,152.30,147.11,151.18,131.05,"18,33,970"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,149.00,149.97,145.60,147.39,127.77,"36,25,520"
04-Feb-2010,151.20,151.50,147.00,149.91,129.96,"53,78,300"
03-Feb-2010,151.60,153.50,149.71,150.15,130.16,"12,24,590"
02-Feb-2010,151.80,153.80,148.51,151.36,131.21,"29,39,510"
01-Feb-2010,144.63,152.49,143.36,150.65,130.60,"26,88,440"
