,Most-recent transaction,Date,Shares owned as of transaction date
Daptardar (Nayna),Acquisition,30-Nov-2018,"10,500"
Desai (Meera S),Sale,31-Dec-2019,"255,392"
Desai (Rita H),Sale,13-Dec-2018,"9,000"
Desai (Sailesh T.),Gift,27-Mar-2020,"2,610,747"
Khatry (Pravin Pravin),Sale,14-Feb-2020,140
Mehta (Rakesh),Acquisition,18-Jan-2019,"68,960"
Pratham Investments.,Sale,01-Apr-2019,"26,781"
Sanghvi (Jayant S),Sale,28-Nov-2019,"1,572,622"
Shah (Julie R),Gift,19-Nov-2019,"171,420"
Shanghvi Finance Pvt Ltd,Acquisition,11-Mar-2020,"967,051,732"
