,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,7,7,42,44
Avg. Estimate,379.28B,383.68B,1.47T,1.64T
Low estimate,369.64B,372.82B,1.4T,1.5T
High estimate,386.33B,394.93B,1.51T,1.77T
Year ago EPS,17.06,18.04,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,309.04B,320.75B,1.23T,1.47T
Sales growth (year/est),22.70%,19.60%,19.70%,11.70%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,17.03,17.69,18.17,20.64
Actual EPS,17.06,18.04,19.17,20.66
Difference,0.03,0.35,1,0.02
Surprise %,0.20%,2.00%,5.50%,0.10%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,21.8,22.4,84.36,94.86
30 days ago,21.8,22.4,84.36,94.86
60 days ago,21.8,22.4,84.36,94.86
90 days ago,21.8,22.4,84.36,94.86
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,1,1,1,1
Growth estimates,TCS.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,-0.44
Next qtr.,N/A,N/A,N/A,-0.16
Current year,N/A,N/A,N/A,-0.22
Next year,N/A,N/A,N/A,0.30
Next 5 years (per annum),12.28%,N/A,N/A,0.03
Past 5 years (per annum),N/A,N/A,N/A,N/A
