,Open,High,Low,Close*,Adj. close**,Volume
10-Apr-2018,"1,462.85","1,478.62","1,462.85","1,468.80","1,387.20","11,84,532"
09-Apr-2018,"1,469.85","1,481.75","1,457.50","1,461.95","1,380.73","12,35,866"
06-Apr-2018,"1,477.00","1,480.00","1,463.28","1,475.15","1,393.19","11,29,018"
05-Apr-2018,"1,463.28","1,481.88","1,460.18","1,478.97","1,396.80","18,09,424"
04-Apr-2018,"1,464.72","1,467.00","1,446.00","1,455.45","1,374.59","28,41,820"
03-Apr-2018,"1,446.05","1,464.95","1,446.05","1,455.62","1,374.75","19,37,290"
02-Apr-2018,"1,420.00","1,457.00","1,420.00","1,454.82","1,373.99","16,62,988"
28-Mar-2018,"1,417.95","1,437.50","1,412.50","1,424.57","1,345.42","68,65,654"
27-Mar-2018,"1,412.50","1,431.50","1,411.53","1,423.85","1,344.74","24,94,574"
26-Mar-2018,"1,409.50","1,413.70","1,390.78","1,408.50","1,330.25","29,64,210"
23-Mar-2018,"1,401.00","1,417.05","1,399.03","1,409.07","1,330.78","36,54,122"
22-Mar-2018,"1,429.97","1,437.97","1,411.28","1,415.68","1,337.03","23,26,094"
21-Mar-2018,"1,436.25","1,442.15","1,425.00","1,428.38","1,349.02","39,07,678"
20-Mar-2018,"1,410.00","1,436.60","1,409.50","1,432.43","1,352.85","40,24,984"
19-Mar-2018,"1,414.50","1,424.00","1,410.00","1,415.50","1,336.86","34,89,940"
16-Mar-2018,"1,434.40","1,436.00","1,402.50","1,412.85","1,334.35","71,97,482"
15-Mar-2018,"1,447.50","1,451.28","1,427.80","1,434.85","1,355.13","23,48,906"
14-Mar-2018,"1,446.47","1,461.53","1,437.53","1,443.45","1,363.25","36,68,668"
13-Mar-2018,"1,462.45","1,469.85","1,436.00","1,443.40","1,363.21","8,80,67,154"
12-Mar-2018,"1,521.50","1,541.95","1,517.75","1,526.07","1,441.28","20,91,340"
09-Mar-2018,"1,502.50","1,531.60","1,488.60","1,517.05","1,432.77","18,72,436"
08-Mar-2018,"1,527.45","1,527.45","1,493.75","1,501.97","1,418.52","19,51,826"
07-Mar-2018,"1,535.00","1,544.50","1,509.25","1,513.72","1,429.62","19,17,772"
06-Mar-2018,"1,561.00","1,563.50","1,515.07","1,521.40","1,436.87","19,06,764"
05-Mar-2018,"1,524.50","1,556.82","1,516.47","1,552.93","1,466.65","28,58,168"
01-Mar-2018,"1,524.50","1,530.60","1,510.00","1,518.85","1,434.47","17,18,124"
28-Feb-2018,"1,517.50","1,531.97","1,510.72","1,517.53","1,433.22","27,06,864"
27-Feb-2018,"1,520.50","1,539.28","1,516.00","1,521.18","1,436.67","17,17,800"
26-Feb-2018,"1,537.50","1,544.97","1,510.60","1,515.85","1,431.63","13,63,882"
23-Feb-2018,"1,525.00","1,544.50","1,496.05","1,537.90","1,452.46","33,62,500"
22-Feb-2018,"1,526.00","1,539.50","1,511.25","1,525.10","1,440.37","34,63,010"
21-Feb-2018,"1,487.00","1,531.30","1,480.03","1,521.15","1,436.64","30,89,228"
20-Feb-2018,"1,464.00","1,492.53","1,463.95","1,472.38","1,390.58","18,89,068"
19-Feb-2018,"1,472.50","1,476.65","1,447.60","1,461.80","1,380.59","15,68,224"
16-Feb-2018,"1,461.50","1,499.80","1,461.50","1,466.53","1,385.05","25,15,756"
15-Feb-2018,"1,465.97","1,471.50","1,452.55","1,462.93","1,381.65","24,65,236"
14-Feb-2018,"1,485.00","1,487.22","1,446.25","1,455.90","1,375.01","28,47,532"
12-Feb-2018,"1,489.15","1,511.68","1,477.78","1,483.65","1,401.22","19,74,562"
09-Feb-2018,"1,475.00","1,497.00","1,448.32","1,485.85","1,403.30","21,02,458"
08-Feb-2018,"1,489.88","1,513.80","1,479.50","1,487.10","1,404.48","27,55,004"
07-Feb-2018,"1,513.50","1,515.50","1,473.72","1,477.53","1,395.44","21,80,324"
06-Feb-2018,"1,505.00","1,538.57","1,492.50","1,498.62","1,415.36","26,57,306"
05-Feb-2018,"1,555.00","1,594.00","1,538.43","1,551.60","1,465.40","27,57,742"
02-Feb-2018,"1,560.00","1,595.00","1,551.72","1,576.82","1,489.22","24,56,490"
01-Feb-2018,"1,562.00","1,595.00","1,544.40","1,569.30","1,482.11","24,00,630"
31-Jan-2018,"1,568.50","1,575.00","1,549.30","1,556.18","1,469.72","30,43,214"
30-Jan-2018,"1,590.00","1,601.90","1,571.85","1,576.43","1,488.85","15,74,758"
29-Jan-2018,"1,565.70","1,612.50","1,561.00","1,599.43","1,510.57","31,41,060"
25-Jan-2018,"1,587.50","1,589.90","1,540.50","1,560.53","1,473.83","38,33,844"
24-Jan-2018,"1,545.00","1,629.53","1,541.32","1,587.30","1,499.11","56,21,538"
23-Jan-2018,"1,557.47","1,571.18","1,545.03","1,551.00","1,464.83","32,39,610"
22-Jan-2018,"1,480.50","1,567.35","1,461.00","1,558.20","1,471.63","43,67,110"
