,Open,High,Low,Close*,Adj. close**,Volume
03-Dec-2019,"2,027.70","2,062.00","2,010.00","2,051.00","2,025.56","46,64,774"
02-Dec-2019,"2,060.00","2,067.70","2,016.00","2,021.05","1,995.98","38,09,860"
29-Nov-2019,"2,085.00","2,085.00","2,045.80","2,053.25","2,027.78","20,64,271"
28-Nov-2019,"2,067.05","2,094.40","2,060.00","2,077.35","2,051.58","29,24,429"
27-Nov-2019,"2,052.00","2,071.70","2,046.55","2,054.30","2,028.82","29,07,521"
26-Nov-2019,"2,089.85","2,097.90","2,035.05","2,046.65","2,021.26","65,61,580"
25-Nov-2019,"2,074.55","2,084.95","2,052.20","2,081.50","2,055.68","27,37,010"
22-Nov-2019,"2,097.00","2,107.00","2,060.50","2,071.70","2,046.00","37,42,049"
21-Nov-2019,"2,112.00","2,126.60","2,107.40","2,118.10","2,091.82","20,52,574"
20-Nov-2019,"2,121.95","2,135.00","2,094.50","2,108.55","2,082.39","28,94,129"
19-Nov-2019,"2,153.00","2,154.65","2,105.00","2,108.80","2,082.64","29,75,313"
18-Nov-2019,"2,178.40","2,187.75","2,148.75","2,152.60","2,125.90","16,11,089"
15-Nov-2019,"2,196.00","2,211.50","2,168.75","2,174.45","2,147.47","27,24,180"
14-Nov-2019,"2,187.50","2,200.00","2,146.70","2,196.80","2,169.55","29,95,915"
13-Nov-2019,"2,118.00","2,183.80","2,118.00","2,178.60","2,151.57","38,23,365"
11-Nov-2019,"2,135.00","2,139.00","2,091.00","2,100.95","2,074.89","29,83,768"
08-Nov-2019,"2,189.60","2,189.60","2,124.00","2,129.95","2,103.53","27,88,759"
07-Nov-2019,"2,204.50","2,204.50","2,175.20","2,185.35","2,158.24","19,15,598"
06-Nov-2019,"2,200.00","2,210.80","2,179.00","2,188.50","2,161.35","25,40,719"
05-Nov-2019,"2,197.00","2,211.00","2,169.00","2,201.85","2,174.53","26,93,475"
04-Nov-2019,"2,207.00","2,229.20","2,180.90","2,193.95","2,166.73","26,46,411"
01-Nov-2019,"2,264.00","2,275.00","2,195.00","2,200.90","2,173.60","41,72,620"
31-Oct-2019,"2,250.00","2,284.95","2,237.00","2,269.65","2,241.49","48,79,261"
30-Oct-2019,"2,225.00","2,260.00","2,176.85","2,252.80","2,224.85","51,95,136"
29-Oct-2019,"2,121.50","2,201.70","2,121.50","2,194.85","2,167.62","50,64,173"
27-Oct-2019,-,-,-,-,-,-
25-Oct-2019,"2,094.00","2,130.00","2,075.05","2,124.95","2,098.59","39,54,245"
24-Oct-2019,"2,084.00","2,099.00","2,061.30","2,082.00","2,056.17","27,98,671"
23-Oct-2019,"2,060.00","2,083.85","2,052.50","2,070.10","2,044.42","23,48,134"
22-Oct-2019,"2,080.00","2,111.50","2,040.05","2,051.40","2,025.95","55,52,505"
18-Oct-2019,"2,037.50","2,063.90","2,025.00","2,057.35","2,031.83","30,87,901"
17-Oct-2019,"2,014.00","2,038.00","1,999.30","2,030.95","2,005.75","38,18,774"
16-Oct-2019,"2,038.00","2,056.00","2,016.00","2,046.40","1,981.51","30,34,082"
