Insider,Insider Type,Type,Date,Shares
TV (Kamalakkannan),UNREPORTED,Direct,11-Jun-2020,"2,500"
Krishnamurthy (Ganesan),UNREPORTED,Direct,18-Apr-2019,500
Lakshminarayanan (Sukanya),UNREPORTED,Direct,14-May-2020,104
Tewari (Amitabh),UNREPORTED,Direct,13-Mar-2020,650
Menon (Suresh Gopinathan),UNREPORTED,Direct,13-May-2019,"2,784"
Thomas (Sheeba),UNREPORTED,Direct,19-Dec-2019,98
Gopinathan (Rajesh),Chief Financial Officer,Direct,15-Jan-2016,"1,000"
Shroff (Gautam),UNREPORTED,Direct,24-Sep-2019,"1,216"
Pathak (Jayashree S),UNREPORTED,Direct,30-Aug-2019,"2,520"
Pathak (Shrikant N),UNREPORTED,Direct,30-Aug-2019,"2,520"
Ravichandran (Radhika),UNREPORTED,Direct,05-Aug-2019,500
Lakkad (Milind),UNREPORTED,Direct,26-Nov-2018,"1,080"
Padhi (Damodar),UNREPORTED,Direct,30-Aug-2018,280
Bhadada (Sunita),UNREPORTED,Direct,19-Jan-2018,200
Vasudevan (Susheel),UNREPORTED,Direct,11-May-2016,"5,000"
Jain (Nitya),UNREPORTED,Direct,23-Jan-2018,250
Jain (Rohit Kumar),UNREPORTED,Direct,22-Jan-2018,50
Bhadada (Kamal),UNREPORTED,Direct,25-Jan-2018,200
Somwanshi (Adesh Ramchandra),UNREPORTED,Direct,19-Jan-2018,200
Aggarwal (Swaran),UNREPORTED,Direct,18-Jan-2018,60
Sanyal (Barindra),UNREPORTED,Direct,28-Aug-2017,"3,000"
Venkataraman (Ramakrishanan),Chief Financial Officer,Direct,18-Aug-2017,700
Ghosh (Debasish),UNREPORTED,Direct,14-Jun-2017,"1,800"
Lakshminaryanan (G S),Divisional Officer,Direct,02-Jun-2017,"1,651"
Vaid (Rajiv),UNREPORTED,Direct,28-Nov-2016,599
Moreshwar (Sanjeev),UNREPORTED,Direct,10-Nov-2016,"2,750"
Malik (Rachna),UNREPORTED,Direct,29-Jul-2016,"1,000"
Ijari (Nagaraj),UNREPORTED,Direct,20-Jun-2016,500
Subramanian (Aarthi),Director (Executive),Direct,12-Mar-2015,700
Vandrevala (Phiroz),Director (Executive),Direct,29-Jul-2010,"20,608"
Tata AIA Life Insurance Company Ltd,Promoter,Direct,14-Sep-2011,650
