,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"2,04,27,000","1,96,61,000","2,00,13,000"
Other short-term investments,"6,67,99,000","4,50,95,000","3,28,42,000"
Total cash,"8,72,26,000","6,47,56,000","5,28,55,000"
Net receivables,"6,95,86,000","6,49,79,000","5,33,77,000"
Inventory,"7,52,000","6,59,000","6,11,000"
Total current assets,"21,56,58,000","18,10,70,000","16,32,65,000"
"Gross property, plant and equipment","9,00,98,000","9,18,06,000","8,70,79,000"
Accumulated depreciation,"-6,11,06,000","-5,95,97,000","-5,26,33,000"
"Net property, plant and equipment","2,89,92,000","3,22,09,000","3,44,46,000"
Goodwill,"2,81,63,000","2,77,27,000","2,62,79,000"
Intangible assets,"1,45,12,000","1,67,81,000","65,94,000"
Other long-term assets,"-1,000",-,-
Total non-current assets,"11,88,11,000","12,33,02,000","9,74,00,000"
Total assets,"33,44,69,000","30,43,72,000","26,06,65,000"
Current debt,"1,75,70,000","1,49,24,000","86,46,000"
Accounts payable,"2,48,93,000","2,03,68,000","1,80,59,000"
Other current liabilities,"2,37,79,000","1,77,86,000","1,78,71,000"
Total current liabilities,"11,56,16,000","9,14,71,000","7,62,33,000"
Long-term debt,"18,44,000","60,04,000","18,89,000"
Deferred tax liabilities,"11,000","58,000","95,000"
Deferred revenues,"20,72,000","21,20,000","52,17,000"
Total non-current liabilities,"1,12,32,000","1,93,82,000","1,54,19,000"
Total liabilities,"12,68,48,000","11,08,53,000","9,16,52,000"
Common stock,"44,37,000","44,17,000","43,88,000"
Retained earnings,"17,61,91,000","15,39,20,000","12,84,36,000"
Total stockholders' equity,"20,28,44,000","18,84,28,000","16,43,72,000"
Total liabilities and stockholders' equity,"33,44,69,000","30,43,72,000","26,06,65,000"
