,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"4,36,16,000","4,29,76,000","3,79,98,000","2,81,29,000"
Depreciation & amortisation,"1,31,80,000","1,12,92,000","1,08,50,000","97,81,000"
Stock-based compensation,"13,27,000","12,63,000","8,87,000","13,46,000"
Change in working capital,"-1,04,20,000","-1,05,74,000","-78,32,000","54,38,000"
Other working capital,"3,40,38,000","3,62,74,000","2,53,69,000","3,30,32,000"
Other non-cash items,"-13,56,000","-10,37,000","-1,00,000","3,66,000"
Net cash provided by operating activities,"4,26,71,000","4,43,20,000","3,55,35,000","4,07,14,000"
"Investments in property, plant and equipment","-86,33,000","-80,46,000","-1,01,66,000","-76,82,000"
"Acquisitions, net","-57,79,000","-13,50,000","-1,13,21,000","-1,37,95,000"
Purchases of investments,"-31,92,96,000","-31,04,38,000","-26,16,62,000","-23,80,15,000"
Sales/maturities of investments,"32,76,21,000","29,66,20,000","24,51,47,000","22,74,41,000"
Other investing activities,"3,79,000","3,15,000","6,38,000","2,92,000"
Net cash used for investing activities,"-35,27,000","-2,11,64,000","-3,35,97,000","-3,05,08,000"
Net change in cash,"-11,22,000","6,44,000","-7,56,000","-55,03,000"
Cash at beginning of period,"1,85,85,000","1,96,61,000","2,00,13,000","2,39,38,000"
Cash at end of period,"1,74,63,000","2,04,27,000","1,96,61,000","2,00,48,000"
Operating cash flow,"4,26,71,000","4,43,20,000","3,55,35,000","4,07,14,000"
Capital expenditure,"-86,33,000","-80,46,000","-1,01,66,000","-76,82,000"
Free cash flow,"3,40,38,000","3,62,74,000","2,53,69,000","3,30,32,000"
