,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"36,26,98,000","34,74,21,000","30,77,29,000","29,14,08,000"
Cost of revenue,"20,20,08,000","19,40,45,000","18,13,82,000","17,30,03,000"
Gross profit,"16,06,90,000","15,33,76,000","12,63,47,000","11,84,05,000"
Selling general and administrative,-,"1,58,68,000","1,34,45,000","1,34,57,000"
Total operating expenses,"11,20,37,000","9,96,36,000","8,84,46,000","8,31,51,000"
Operating income or loss,"4,86,53,000","5,37,40,000","3,79,01,000","3,52,54,000"
Interest expense,"14,53,000","11,17,000","8,96,000","6,38,000"
Income before tax,"5,57,23,000","5,54,32,000","4,87,88,000","3,85,30,000"
Income tax expense,"1,27,47,000","1,25,44,000","1,09,26,000","1,00,21,000"
Income from continuing operations,"4,29,76,000","4,28,88,000","3,78,62,000","2,85,09,000"
Net income,"4,36,16,000","4,29,76,000","3,79,98,000","2,81,29,000"
Net income available to common shareholders,"4,36,16,000","4,29,76,000","3,79,98,000","2,81,29,000"
Basic EPS,-,48.47,43.02,32.14
Diluted EPS,-,47.72,42.66,31.64
Basic average shares,-,"8,86,568","8,83,262","8,75,311"
Diluted average shares,-,"9,00,585","8,90,627","8,88,890"
EBITDA,-,"6,78,42,000","6,05,34,000","4,89,49,000"
