,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"1,50,87,300","1,40,41,500","1,13,00,900","69,72,800"
Depreciation & amortisation,-,"16,28,400","13,14,300","11,05,300"
Stock-based compensation,-,"10,700","43,100",-
Change in working capital,-,"-30,35,700","-1,23,64,500","94,74,800"
Inventory,-,"-1,11,98,600","-99,59,300","-44,79,700"
Other working capital,-,"97,82,000","-35,55,900","1,48,50,500"
Other non-cash items,-,"-5,11,500","-1,13,000","-1,42,900"
Net cash provided by operating activities,-,"1,24,29,200","-5,07,400","1,75,09,100"
"Investments in property, plant and equipment",-,"-26,47,200","-30,48,500","-26,58,600"
"Acquisitions, net",-,-,0,"-38,31,800"
Purchases of investments,-,"-1,43,30,600","-71,49,300","-83,09,100"
Sales/maturities of investments,-,"79,50,000","1,04,65,200","50,32,800"
Other investing activities,-,-,-,"-9,21,300"
Net cash used for investing activities,-,"-79,83,400","9,59,500","-1,02,29,300"
Net change in cash,-,"-4,42,500","-20,72,100","56,23,800"
Cash at beginning of period,-,"47,20,500","67,80,000","8,44,500"
Cash at end of period,-,"42,95,300","47,20,500","67,92,700"
Operating cash flow,-,"1,24,29,200","-5,07,400","1,75,09,100"
Capital expenditure,-,"-26,47,200","-30,48,500","-26,58,600"
Free cash flow,-,"97,82,000","-35,55,900","1,48,50,500"
