,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"21,22,25,900","19,77,23,000","16,16,55,000","12,95,59,100"
Cost of revenue,"15,40,28,600","14,39,42,500","11,68,62,200","9,42,91,600"
Gross profit,"5,81,97,300","5,37,80,500","4,47,92,800","3,52,67,500"
Selling general and administrative,"1,16,19,100","1,16,02,700","97,50,500","63,73,600"
Total operating expenses,"3,64,94,600","3,39,50,400","2,96,18,000","2,45,46,200"
Operating income or loss,"2,17,02,700","1,98,30,100","1,51,74,800","1,07,21,300"
Interest expense,"13,59,200","5,25,400","5,29,200","3,19,200"
Income before tax,"2,04,39,300","1,95,68,900","1,52,97,800","97,50,200"
Income tax expense,"54,60,400","56,82,400","42,78,700","27,59,700"
Income from continuing operations,"1,49,78,900","1,38,86,500","1,10,19,100","69,72,800"
Net income,"1,50,87,300","1,40,41,500","1,13,00,900","69,72,800"
Net income available to common shareholders,"1,50,87,300","1,40,41,500","1,13,00,900","69,72,800"
Basic EPS,-,15.82,12.75,7.85
Diluted EPS,-,15.82,12.75,7.85
Basic average shares,-,"8,87,786","8,87,786","8,87,786"
Diluted average shares,-,"8,87,786","8,87,786","8,87,786"
EBITDA,-,"2,17,22,700","1,71,41,300","1,11,74,700"
