,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,96.50,96.50,94.50,95.28,78.94,"5,91,020"
08-Apr-2010,94.24,96.09,93.51,94.32,78.15,"16,91,820"
07-Apr-2010,94.00,94.50,93.25,94.01,77.90,"20,80,180"
06-Apr-2010,94.00,94.00,92.60,93.53,77.50,"4,04,340"
05-Apr-2010,94.75,94.75,93.05,93.58,77.54,"7,34,200"
01-Apr-2010,92.00,93.95,91.90,93.63,77.58,"12,69,200"
31-Mar-2010,91.05,92.65,91.05,92.03,76.25,"12,78,560"
30-Mar-2010,93.00,93.25,91.50,91.63,75.92,"9,91,840"
29-Mar-2010,91.25,92.60,90.75,92.37,76.53,"13,94,560"
26-Mar-2010,89.25,91.69,89.25,90.83,75.26,"14,21,340"
25-Mar-2010,88.86,90.39,88.29,88.77,73.55,"25,09,980"
23-Mar-2010,89.87,91.00,88.68,89.04,73.78,"12,19,700"
22-Mar-2010,90.00,91.25,89.07,89.37,74.05,"8,35,380"
19-Mar-2010,91.05,92.38,90.55,91.18,75.55,"9,51,000"
18-Mar-2010,91.70,91.70,90.40,90.60,75.07,"8,51,320"
17-Mar-2010,90.25,92.40,89.87,90.37,74.88,"23,87,720"
16-Mar-2010,90.50,90.64,89.33,90.11,74.66,"14,77,660"
15-Mar-2010,89.85,90.75,89.25,89.54,74.19,"9,66,780"
12-Mar-2010,90.89,91.65,89.82,90.19,74.73,"16,25,360"
11-Mar-2010,88.35,91.25,88.35,90.61,75.07,"10,49,500"
10-Mar-2010,90.05,92.10,89.60,89.94,74.52,"20,63,540"
09-Mar-2010,90.50,91.75,89.60,90.72,75.17,"16,57,220"
08-Mar-2010,92.45,92.95,90.25,90.51,74.99,"17,24,100"
05-Mar-2010,94.00,95.10,91.13,91.53,75.84,"20,84,960"
04-Mar-2010,90.80,93.89,90.40,93.37,77.36,"27,02,680"
03-Mar-2010,89.87,91.35,89.87,90.71,75.16,"8,55,440"
02-Mar-2010,88.40,90.00,88.00,89.57,74.22,"10,90,500"
26-Feb-2010,86.89,88.70,85.08,87.31,72.35,"23,30,380"
25-Feb-2010,86.25,87.49,85.90,86.18,71.41,"10,59,800"
24-Feb-2010,86.50,88.10,86.25,86.78,71.90,"8,27,180"
23-Feb-2010,87.50,88.70,86.43,87.37,72.39,"34,25,960"
22-Feb-2010,91.50,92.68,87.75,88.15,73.04,"34,72,380"
19-Feb-2010,90.00,92.35,89.75,90.58,75.05,"13,78,220"
18-Feb-2010,89.75,92.50,89.50,91.28,75.63,"41,71,160"
17-Feb-2010,86.95,90.95,86.67,89.86,74.46,"42,68,340"
16-Feb-2010,87.00,87.10,85.61,86.38,71.57,"4,65,280"
15-Feb-2010,86.45,87.68,85.57,85.85,71.13,"6,92,500"
11-Feb-2010,87.02,87.75,85.92,86.86,71.97,"16,04,680"
10-Feb-2010,85.45,89.00,85.45,86.18,71.41,"40,79,920"
09-Feb-2010,85.44,86.18,84.26,85.07,70.48,"16,55,720"
08-Feb-2010,85.45,86.95,83.83,85.02,70.44,"22,57,320"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,83.50,85.95,82.52,84.13,69.71,"24,91,540"
04-Feb-2010,87.40,88.75,83.86,85.12,70.53,"39,25,660"
03-Feb-2010,84.00,88.85,83.90,86.64,71.79,"59,37,120"
02-Feb-2010,85.75,87.00,82.90,83.51,69.20,"31,62,920"
01-Feb-2010,76.25,86.35,76.24,85.43,70.78,"74,68,400"
29-Jan-2010,75.75,76.50,73.75,75.04,62.18,"4,42,140"
28-Jan-2010,73.50,76.95,72.80,76.23,63.16,"15,03,240"
27-Jan-2010,73.68,75.70,73.68,74.94,62.09,"7,76,900"
25-Jan-2010,75.06,75.68,74.50,75.13,62.25,"2,86,860"
22-Jan-2010,74.75,76.44,71.80,76.03,63.00,"5,57,300"
21-Jan-2010,77.82,77.99,75.40,76.21,63.14,"8,68,240"
20-Jan-2010,77.35,79.00,76.80,77.78,64.44,"25,49,940"
19-Jan-2010,73.83,78.40,70.55,76.71,63.56,"22,51,180"
18-Jan-2010,76.45,76.45,74.30,75.29,62.38,"2,39,180"
15-Jan-2010,76.00,76.50,74.83,75.78,62.79,"6,59,400"
14-Jan-2010,74.22,76.25,73.85,75.86,62.86,"11,28,620"
13-Jan-2010,74.00,74.55,73.00,73.46,60.87,"5,25,280"
12-Jan-2010,75.25,75.25,73.70,74.04,61.35,"3,93,860"
11-Jan-2010,76.00,76.00,73.94,74.23,61.51,"4,06,280"
08-Jan-2010,76.25,76.25,72.83,74.83,62.01,"4,78,240"
07-Jan-2010,73.25,76.65,73.25,75.53,62.58,"32,18,340"
06-Jan-2010,73.55,74.40,73.25,73.70,61.07,"13,18,500"
05-Jan-2010,72.45,73.10,71.20,72.53,60.10,"12,82,660"
04-Jan-2010,71.25,72.45,70.36,71.07,58.89,"4,90,880"
19-Jul-2010,133.50,134.45,132.00,132.43,124.76,"15,67,580"
16-Jul-2010,134.32,135.88,132.94,133.60,125.86,"17,83,080"
15-Jul-2010,129.50,137.75,129.50,134.58,126.78,"39,26,500"
14-Jul-2010,132.50,136.95,130.50,131.92,124.27,"40,03,580"
13-Jul-2010,125.43,134.17,124.55,131.38,123.76,"28,07,700"
12-Jul-2010,125.50,126.01,124.25,125.43,118.16,"8,24,180"
09-Jul-2010,124.75,125.68,122.60,125.26,118.00,"15,71,880"
08-Jul-2010,121.19,125.75,120.80,124.54,103.19,"25,45,580"
07-Jul-2010,119.50,121.28,118.35,120.35,99.72,"38,24,400"
06-Jul-2010,116.55,120.18,115.65,119.25,98.81,"9,25,240"
05-Jul-2010,117.25,117.25,115.08,116.52,96.55,"3,09,980"
02-Jul-2010,117.50,118.25,115.82,116.14,96.23,"4,18,420"
01-Jul-2010,118.00,118.39,117.05,117.49,97.35,"9,40,380"
30-Jun-2010,117.05,119.25,116.15,118.51,98.20,"7,43,840"
29-Jun-2010,117.00,119.20,116.25,117.61,97.45,"19,53,520"
