,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,1,1,28,27
Avg. Estimate,87.24B,101.24B,365.31B,432.5B
Low estimate,87.24B,101.24B,326.33B,391.53B
High estimate,87.24B,101.24B,391.22B,497.44B
Year ago EPS,15.35,26.01,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,77.45B,90.02B,306.84B,365.31B
Sales growth (year/est),12.60%,12.50%,19.10%,18.40%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,20.33,22.02,20.37,14.32
Actual EPS,15.35,26.01,21.79,14.23
Difference,-4.98,3.99,1.42,-0.09
Surprise %,-24.50%,18.10%,7.00%,-0.60%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,22,24.14,101.47,137.04
30 days ago,22,24.14,101.47,137.04
60 days ago,22,24.14,101.47,137.04
90 days ago,22,24.14,101.47,137.04
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,1,1
Growth estimates,ULTRACEMCO.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),24.72%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
