,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"3,68,73,300","2,43,47,200","2,22,21,700","2,71,49,200"
Depreciation & amortisation,-,"2,13,98,000","1,84,79,300","1,34,84,100"
Stock-based compensation,-,"96,000","78,500","54,500"
Change in working capital,-,"-93,74,300","-1,24,76,600","51,75,800"
Inventory,-,"-24,16,100","-62,26,200","5,39,400"
Other working capital,-,"3,49,92,000","1,79,09,200","3,60,74,000"
Other non-cash items,-,"1,40,86,000","1,16,76,300","56,43,500"
Net cash provided by operating activities,-,"5,15,98,700","3,88,74,200","4,99,34,600"
"Investments in property, plant and equipment",-,"-1,66,06,700","-2,09,65,000","-1,38,60,600"
"Acquisitions, net",-,"-79,500","-8,300",0
Purchases of investments,-,"-1,72,00,000","-3,94,64,300","-3,37,68,800"
Sales/maturities of investments,-,"4,49,84,300","5,57,42,200","2,22,84,500"
Other investing activities,-,"-16,24,200","2,04,45,600","-1,54,000"
Net cash used for investing activities,-,"1,20,62,500","1,85,70,200","-2,46,85,000"
Net change in cash,-,"32,10,900","1,42,400","-1,00,300"
Cash at beginning of period,-,"7,71,900","5,88,000","9,01,800"
Cash at end of period,-,"43,72,400","7,71,900","5,88,100"
Operating cash flow,-,"5,15,98,700","3,88,74,200","4,99,34,600"
Capital expenditure,-,"-1,66,06,700","-2,09,65,000","-1,38,60,600"
Free cash flow,-,"3,49,92,000","1,79,09,200","3,60,74,000"
