,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"38,98,99,000","36,84,88,800","31,02,76,200","25,16,56,500"
Cost of revenue,"8,56,15,700","8,47,05,100","6,97,73,400","5,93,11,800"
Gross profit,"30,42,83,300","28,37,83,700","24,05,02,800","19,23,44,700"
Selling general and administrative,"9,47,08,000","9,69,47,100","8,42,77,800","6,84,00,200"
Total operating expenses,"23,95,57,300","23,72,23,700","19,66,19,700","15,21,71,400"
Operating income or loss,"6,47,26,000","4,65,60,000","4,38,83,100","4,01,73,300"
Interest expense,"1,74,25,200","1,53,49,900","1,21,94,600","62,39,000"
Income before tax,"5,37,65,400","3,53,83,700","3,30,14,700","3,87,20,600"
Income tax expense,"1,70,85,100","1,10,67,800","1,07,70,100","1,15,85,500"
Income from continuing operations,"3,66,80,300","2,43,15,900","2,22,44,600","2,71,35,100"
Net income,"3,68,73,300","2,43,47,200","2,22,21,700","2,71,49,200"
Net income available to common shareholders,"3,68,73,300","2,43,47,200","2,22,21,700","2,71,49,200"
Basic EPS,-,88.72,80.94,98.92
Diluted EPS,-,88.69,80.92,98.88
Basic average shares,-,"2,74,430","2,74,544","2,74,454"
Diluted average shares,-,"2,74,509","2,74,614","2,74,576"
EBITDA,-,"7,21,31,600","6,36,88,600","5,84,43,700"
