,Most-recent transaction,Date,Shares owned as of transaction date
"Aditya Marketing & Manufacturing Company, Ltd.",Sale,08-Nov-2019,"64,251"
Balasubramaniam (G),Other,13-Mar-2020,553
Balya (Rakesh),Other,03-Jan-2020,"1,215"
Baury (Manish),Other,14-Feb-2020,"1,303"
Birla Group Holdings Pvt Ltd,Other,08-Jul-2019,3
Gautam (Mukesh Chandra),Other,03-Dec-2019,"3,562"
IGH Holdings Pvt Ltd,Sale,26-Nov-2019,1
Jhanwar (Kailash Chandra),Sale,24-Feb-2020,512
Rajgaria (Pramod),Other,03-Dec-2019,"1,852"
Saxena (Rajiv Kumar),Other,03-Jan-2020,658
