,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"2,82,70,000","2,85,90,000","2,88,00,000"
Other short-term investments,"13,80,000","4,50,000","2,20,000"
Total cash,"2,96,50,000","2,90,40,000","2,90,20,000"
Net receivables,"11,81,20,000","6,05,60,000","5,65,60,000"
Inventory,"9,26,90,000","4,53,80,000","4,15,60,000"
Total current assets,"26,99,10,000","15,03,10,000","13,69,80,000"
"Gross property, plant and equipment","10,17,70,000","6,77,50,000","5,55,50,000"
Accumulated depreciation,"-4,35,80,000","-2,81,10,000","-2,43,90,000"
"Net property, plant and equipment","5,81,90,000","3,96,40,000","3,11,60,000"
Goodwill,"15,05,00,000","43,20,000","41,90,000"
Intangible assets,"12,81,30,000","1,36,00,000","1,32,80,000"
Other long-term assets,"10,000",-,-
Total non-current assets,"36,05,60,000","8,01,20,000","6,68,30,000"
Total assets,"63,04,80,000","23,04,30,000","20,38,10,000"
Current debt,"2,75,30,000","76,50,000","1,01,10,000"
Accounts payable,"9,42,30,000","5,67,50,000","4,87,50,000"
Other current liabilities,"38,60,000","14,30,000","13,00,000"
Total current liabilities,"15,56,40,000","7,64,20,000","7,02,80,000"
Long-term debt,"26,35,20,000","5,87,30,000","5,35,00,000"
Deferred tax liabilities,"2,94,20,000","8,80,000","16,90,000"
Deferred revenues,0,0,0
Other long-term liabilities,"10,000",-,-
Total non-current liabilities,"29,48,10,000","6,21,30,000","5,92,30,000"
Total liabilities,"45,04,50,000","13,85,50,000","12,95,10,000"
Common stock,"10,20,000","10,20,000","18,30,000"
Retained earnings,"12,30,60,000","5,92,70,000","4,30,30,000"
Total stockholders' equity,"14,64,50,000","9,16,90,000","7,39,70,000"
Total liabilities and stockholders' equity,"63,04,80,000","23,04,30,000","20,38,10,000"
