,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"1,36,50,000","1,44,70,000","2,02,20,000","1,72,70,000"
Depreciation & amortisation,-,"96,90,000","67,50,000","67,20,000"
Change in working capital,-,"-56,30,000","-32,30,000","-12,10,000"
Inventory,-,"-67,40,000","-38,30,000","-38,70,000"
Other working capital,-,"78,10,000","1,42,60,000","1,41,00,000"
Other non-cash items,-,"26,40,000","28,00,000","49,90,000"
Net cash provided by operating activities,-,"2,35,60,000","2,83,90,000","2,66,90,000"
"Investments in property, plant and equipment",-,"-1,57,50,000","-1,41,30,000","-1,25,90,000"
"Acquisitions, net",-,"-30,99,30,000","-32,20,000","-1,00,000"
Purchases of investments,-,"-9,60,000","-43,00,000",-
Sales/maturities of investments,-,"43,60,000",-,"1,20,000"
Other investing activities,-,"-4,40,000","-14,80,000","-3,40,000"
Net cash used for investing activities,-,"-31,96,80,000","-2,09,30,000","-99,90,000"
Net change in cash,-,"-1,08,10,000","-1,90,000","1,70,30,000"
Cash at beginning of period,-,"2,85,90,000","2,88,00,000","1,17,70,000"
Cash at end of period,-,"2,82,60,000","2,85,90,000","2,88,00,000"
Operating cash flow,-,"2,35,60,000","2,83,90,000","2,66,90,000"
Capital expenditure,-,"-1,57,50,000","-1,41,30,000","-1,25,90,000"
Free cash flow,-,"78,10,000","1,42,60,000","1,41,00,000"
