Insider,Insider Type,Type,Date,Shares
Hilloo (Farokh),UNREPORTED,Direct,30-Jan-2020,"7,500"
Premnath (Ajit),UNREPORTED,Direct,13-Aug-2019,"1,000"
Vora (Anand K),Chief Financial Officer,Direct,01-Oct-2014,"2,000"
Mehta (Shrenik),UNREPORTED,Direct,02-Dec-2019,"2,850"
Chandiramani (Rachna Kishore),UNREPORTED,Direct,08-Jan-2018,600
Premnath (Neerja),UNREPORTED,Direct,13-Aug-2019,"1,000"
Nerka Chemicals Pvt Ltd,Promoter,Direct,19-Sep-2009,"58,442,700"
Banerjee (Kalyan M.),UNREPORTED,Direct,09-Dec-2016,"44,884"
Singh (Hardeep),Director (Non-Executive),Direct,23-Jul-2018,"2,000"
Sagar (Shilpa P),Promoter,Direct,01-Feb-2018,"5,000"
Leon (Alberto Javier),UNREPORTED,Direct,12-Nov-2018,"71,464"
Kumar (Rohit),UNREPORTED,Direct,09-Oct-2018,"2,600"
Uniphos Enterprises Ltd,Promoter,Direct,23-Feb-2012,"51,930"
Banerjee (Binata Kalyan),UNREPORTED,Direct,08-Aug-2017,"18,500"
Adams (Ben Michael),UNREPORTED,Direct,22-Sep-2017,"2,490"
Sagar (Pradeep),Promoter,Direct,17-May-2013,300
Archana Overseas Pvt Ltd,Promoter,Direct,01-Sep-2016,"2,530,500"
Demuric Holdings Pvt. Ltd.,Promoter,Direct,01-Sep-2016,"293,775"
Esthetic Finvest Pvt Ltd,Promoter,Direct,01-Sep-2016,"317,335"
Sagar (Shilpa Shroff),Promoter,Direct,28-May-2014,"1,850"
Shroff (Jaidev Rajnikant),Promoter,Direct,01-Sep-2016,"15,230,250"
Shroff (Varun Jaidev),Promoter,Direct,01-Sep-2016,"37,500"
Shroff (Tania Jaidev),Promoter,Direct,01-Sep-2016,"28,155"
Shroff (Vikram Rajnikant),Promoter,Direct,01-Sep-2016,"12,699,750"
Ashar (Asha A),UNREPORTED,Direct,21-Jun-2016,"2,000"
Shroff (Rajnikant Devidas),Executive Chairman,Direct,09-Oct-2015,"10,000"
Trivedi (Mukul B),Compliance Officer,Direct,27-Mar-2015,"5,000"
Ashar (Arun C),Director,Direct,30-Mar-2012,"35,260"
