,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"12,50,20,000","7,22,91,000","4,21,92,000","9,72,02,000"
Other short-term investments,"27,06,40,000","29,21,12,000","31,59,96,000","52,46,85,000"
Total cash,"39,56,60,000","36,44,03,000","35,81,88,000","62,18,87,000"
Net receivables,"2,69,70,000","3,98,24,000","3,16,51,000","2,03,28,000"
Inventory,"11,33,50,000","13,27,06,000","11,98,84,000","9,72,66,000"
Other current assets,"3,13,80,000","1,42,80,000","1,05,50,000","89,52,400"
Total current assets,"57,52,00,000","59,90,44,000","56,64,88,000","79,14,03,000"
"Gross property, plant and equipment","1,04,85,90,000","2,77,91,36,000","2,04,14,77,000","1,88,35,70,000"
Accumulated depreciation,-,"-1,65,60,19,000","-98,98,70,000","-90,39,97,000"
"Net property, plant and equipment","1,04,85,90,000","1,12,31,17,000","1,05,16,07,000","97,95,73,000"
Equity and other investments,"2,61,80,000","5,98,97,000","95,13,000","63,84,000"
Intangible assets,"2,63,00,000","77,12,000","83,03,000","63,78,000"
Other long-term assets,"3,33,00,000","52,09,000","59,61,000","37,26,000"
Total non-current assets,"1,26,10,20,000","1,33,18,66,000","1,19,79,41,000","1,12,74,58,000"
Total assets,"1,83,62,20,000","1,93,09,10,000","1,76,44,29,000","1,91,88,61,000"
Current debt,"13,07,60,000","31,50,53,000","31,37,00,000","41,31,26,000"
Accounts payable,"16,97,20,000","9,29,18,000","8,43,45,000","6,26,39,000"
Taxes payable,"18,80,000","41,09,000","31,23,000","20,28,000"
Accrued liabilities,-,"1,03,60,000","88,60,000","83,89,500"
Deferred revenues,-,-,-,"31,04,000"
Other current liabilities,"32,73,10,000","5,78,34,000","5,05,99,000","4,06,57,000"
Total current liabilities,"63,32,20,000","76,49,62,000","67,11,18,000","82,41,02,000"
Long-term debt,"36,72,40,000","34,72,09,000","26,78,88,000","33,26,54,000"
Deferred tax liabilities,"2,88,50,000","4,41,54,000","4,33,40,000","2,40,15,000"
Other long-term liabilities,"6,07,10,000","1,26,21,000","43,95,000","18,000"
Total non-current liabilities,"48,55,30,000","43,40,02,000","34,03,81,000","38,09,71,000"
Total liabilities,"1,11,87,50,000","1,19,89,64,000","1,01,14,99,000","1,20,50,73,000"
Common stock,"37,20,000","37,18,000","37,18,000","37,18,000"
Retained earnings,-,"28,13,44,000","30,22,81,000","36,93,90,000"
Total stockholders' equity,"54,63,50,000","58,13,38,000","59,55,66,000","57,65,38,000"
Total liabilities and stockholders' equity,"1,83,62,20,000","1,93,09,10,000","1,76,44,29,000","1,91,88,61,000"
