,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"83,54,50,000","83,54,50,000","90,90,12,000","91,37,20,000","71,72,07,000"
Cost of revenue,"38,89,50,000","38,89,50,000","72,78,32,000","65,59,08,000","53,39,89,000"
Gross profit,"44,65,00,000","44,65,00,000","18,11,80,000","25,78,12,000","18,32,18,000"
Selling general and administrative,"2,67,20,000","2,67,20,000","5,14,32,000","3,96,54,000","3,56,60,000"
Total operating expenses,"8,35,30,000","8,35,30,000","3,59,64,000","3,42,81,000","3,04,74,000"
Operating income or loss,"36,29,70,000","36,29,70,000","14,52,16,000","22,35,31,000","15,27,44,000"
Interest expense,"4,97,70,000","4,97,70,000","5,25,77,000","4,76,34,000","4,84,10,000"
Total other income/expenses net,"-39,57,90,000","-39,57,90,000","1,58,44,000","-6,19,93,000","3,01,32,000"
Income before tax,"-8,25,90,000","-8,25,90,000","11,77,30,000","11,33,35,000","13,65,72,000"
Income tax expense,"-3,51,60,000","-3,51,60,000","4,15,01,000","6,64,26,000","3,80,27,000"
Income from continuing operations,"-4,74,30,000","-4,74,30,000","7,62,29,000","4,69,09,000","9,85,45,000"
Net income,"-6,66,40,000","-6,66,40,000","4,97,75,000","1,37,05,000","5,50,33,000"
Net income available to common shareholders,"-6,66,40,000","-6,66,40,000","4,97,75,000","1,37,05,000","5,50,33,000"
Basic EPS,-,-,13.43,26.17,18.60
Diluted EPS,-,-,13.38,26.11,18.59
Basic average shares,-,-,"37,05,502","39,51,853","29,63,554"
Diluted average shares,-,-,"37,21,450","39,60,935","29,65,148"
EBITDA,-,"5,87,00,000","26,64,53,000","23,58,48,000","24,64,59,000"
