,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,495.00,495.00,465.00,468.75,316.47,"68,62,220"
08-Apr-2010,481.00,494.00,475.40,490.65,331.25,"58,41,012"
07-Apr-2010,477.00,483.90,474.50,480.00,324.06,"34,18,997"
06-Apr-2010,485.00,485.00,473.25,475.20,320.82,"20,22,485"
05-Apr-2010,480.00,480.00,469.00,474.10,320.08,"20,80,899"
01-Apr-2010,471.00,477.40,465.10,470.40,317.58,"36,77,751"
31-Mar-2010,460.00,473.95,458.90,470.45,317.61,"69,09,674"
30-Mar-2010,458.00,460.00,452.40,457.35,308.77,"82,94,588"
29-Mar-2010,460.00,462.00,452.10,455.60,307.59,"22,43,330"
26-Mar-2010,454.00,458.80,450.50,455.40,307.45,"23,44,992"
25-Mar-2010,451.00,456.30,449.20,451.95,305.12,"45,62,165"
23-Mar-2010,449.00,454.00,445.65,448.85,303.03,"41,51,276"
22-Mar-2010,400.00,463.95,400.00,445.25,300.60,"68,89,154"
19-Mar-2010,438.80,454.40,437.35,452.20,305.29,"54,75,336"
18-Mar-2010,446.50,447.00,435.70,437.35,295.27,"31,96,139"
17-Mar-2010,442.00,450.45,442.00,444.95,300.40,"36,34,202"
16-Mar-2010,438.00,442.70,437.35,440.10,297.12,"28,47,877"
15-Mar-2010,432.00,444.40,428.95,437.45,295.34,"44,15,527"
12-Mar-2010,429.90,437.90,427.25,433.00,292.33,"39,62,253"
11-Mar-2010,437.95,442.00,427.15,428.90,289.56,"35,81,131"
10-Mar-2010,445.00,446.00,434.50,438.25,295.88,"33,58,839"
09-Mar-2010,444.50,449.80,434.20,440.30,297.26,"57,38,194"
08-Mar-2010,454.00,455.70,440.50,444.85,300.33,"41,26,368"
05-Mar-2010,460.00,462.00,443.65,447.35,302.02,"90,00,792"
04-Mar-2010,428.00,460.00,425.20,456.65,308.30,"1,15,31,310"
03-Mar-2010,419.00,429.50,418.10,427.10,288.35,"44,64,826"
02-Mar-2010,405.00,419.95,405.00,417.65,281.97,"50,13,243"
26-Feb-2010,380.00,404.95,377.00,400.35,270.29,"70,91,910"
25-Feb-2010,379.60,383.95,372.70,380.85,257.12,"41,74,831"
24-Feb-2010,373.00,381.90,368.25,377.00,254.52,"33,59,061"
23-Feb-2010,363.95,379.85,363.65,377.75,255.03,"36,49,303"
22-Feb-2010,379.00,381.35,363.55,365.90,247.03,"27,36,539"
19-Feb-2010,375.00,381.10,367.20,373.55,252.19,"41,15,962"
18-Feb-2010,388.85,388.90,378.10,383.90,259.18,"22,79,344"
17-Feb-2010,380.90,388.45,378.05,387.10,261.34,"34,51,297"
16-Feb-2010,381.00,383.50,372.05,377.00,254.52,"31,98,086"
15-Feb-2010,385.00,388.00,376.75,379.80,256.41,"39,01,715"
11-Feb-2010,370.00,385.50,367.00,382.70,258.37,"57,00,761"
10-Feb-2010,362.00,370.90,362.00,367.70,248.24,"44,48,290"
09-Feb-2010,363.90,363.90,352.40,360.40,243.32,"37,90,368"
08-Feb-2010,350.00,366.40,348.05,362.35,244.63,"40,53,658"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,345.00,351.65,340.00,345.55,233.29,"35,14,796"
04-Feb-2010,368.00,369.85,359.10,360.45,243.35,"29,23,901"
03-Feb-2010,362.00,371.50,360.00,369.75,249.63,"29,48,416"
02-Feb-2010,370.00,372.45,354.55,356.60,240.75,"45,42,180"
01-Feb-2010,343.70,368.00,338.20,365.25,246.59,"50,05,227"
29-Jan-2010,349.80,353.90,332.15,346.75,234.10,"45,41,312"
28-Jan-2010,360.10,368.70,350.35,353.40,238.59,"44,29,098"
27-Jan-2010,370.10,374.70,348.15,354.60,239.40,"78,35,300"
25-Jan-2010,384.40,384.40,371.10,373.60,252.23,"33,36,071"
22-Jan-2010,380.00,393.85,373.95,385.60,260.33,"48,28,364"
21-Jan-2010,402.50,404.70,384.60,387.85,261.85,"40,53,370"
20-Jan-2010,409.60,410.70,401.00,404.15,272.85,"28,34,184"
19-Jan-2010,417.20,419.00,405.00,406.15,274.20,"32,08,273"
