Insider,Insider Type,Type,Date,Shares
Gupta (Amitabh),UNREPORTED,Direct,05-Feb-2020,"10,000"
Chauhan (Avishkar),UNREPORTED,Direct,10-Aug-2018,364
Patel (Anand),UNREPORTED,Direct,28-Aug-2018,"4,382"
Babu (P S S V Prasad),UNREPORTED,Direct,10-Aug-2018,"4,584"
Krishnan (Navaneetha N),UNREPORTED,Direct,10-Aug-2018,"6,594"
Mukherjee (Sandip),UNREPORTED,Direct,20-Jan-2018,"2,000"
Muthukumarasamy (D),UNREPORTED,Direct,10-Aug-2018,"14,245"
Suresh Kumar (M),UNREPORTED,Direct,10-Aug-2018,"13,059"
Tadi (Shrinivasa Rao),UNREPORTED,Direct,15-Mar-2018,"6,613"
Vora (Rahul D),UNREPORTED,Direct,10-Aug-2018,"5,872"
Edara (Chandra Sekhar),UNREPORTED,Direct,08-Aug-2018,"5,874"
Acharya (Chandan),UNREPORTED,Direct,27-Jul-2018,"11,189"
Bagchi (Dibyendu),UNREPORTED,Direct,27-Jul-2018,"6,935"
Dhinakaran (N),UNREPORTED,Direct,27-Jul-2018,"5,125"
Pandian (Soundara),UNREPORTED,Direct,27-Jul-2018,"7,958"
Narendran (Vidhya Geetha),UNREPORTED,Direct,27-Jul-2018,"10,000"
Kapadia (Gautam),UNREPORTED,Direct,04-Jul-2018,"9,000"
Koppu (Srinivas Kumar),UNREPORTED,Direct,26-Jun-2018,"4,364"
K (Sathyamoorthy),UNREPORTED,Direct,29-May-2018,"7,902"
Sridharan (M),UNREPORTED,Direct,15-May-2018,"2,061"
Tandon (Rohit),UNREPORTED,Direct,20-Apr-2018,"7,643"
Dev (Soumen),UNREPORTED,Direct,20-Apr-2018,"1,882"
Doodraj (Sunil Kumar),UNREPORTED,Direct,30-Nov-2017,"8,400"
Sundar (Syam G),UNREPORTED,Direct,08-Mar-2018,"11,623"
Karnavat (Shaileshkumar Ambalal),UNREPORTED,Direct,03-Jan-2018,800
Reddy (Kolan Kondal),UNREPORTED,Direct,15-Dec-2017,"7,300"
Rao (Challapalli Gangadhara),UNREPORTED,Direct,08-Jan-2018,"2,000"
kantinidhi (M Joshua Subhakar),UNREPORTED,Direct,04-Jan-2018,"3,032"
Kishor (Kamal),UNREPORTED,Direct,14-Feb-2018,"1,875"
Patil (Bhushan),UNREPORTED,Direct,07-Mar-2018,"2,030"
Singh (Yogesh Kumar),UNREPORTED,Direct,01-Mar-2018,"4,000"
Kumar (T Ashok),UNREPORTED,Direct,12-Jan-2018,"2,000"
Vaghasia (Kalpesh),UNREPORTED,Direct,15-Jan-2018,"2,500"
Srivastava (Anurag),UNREPORTED,Direct,14-Feb-2018,"5,685"
