,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"14,44,99,000","15,85,29,000","4,49,25,000","5,27,10,000"
Other short-term investments,"19,06,85,000","23,00,99,000","25,22,58,000","29,20,30,000"
Total cash,"33,51,84,000","38,86,28,000","29,71,83,000","34,47,40,000"
Net receivables,"10,44,74,000","10,04,89,000","10,09,90,000","9,48,46,000"
Inventory,"18,65,000","39,51,000","33,70,000","39,15,000"
Other current assets,"13,93,000","68,20,000","25,55,000","51,67,000"
Total current assets,"51,98,51,000","57,19,06,000","50,61,56,000","53,88,98,000"
"Gross property, plant and equipment","20,46,81,000","16,37,79,000","14,80,81,000","16,54,93,000"
Accumulated depreciation,"-10,68,13,000","-9,31,78,000","-8,36,38,000","-9,56,99,000"
"Net property, plant and equipment","9,78,68,000","7,06,01,000","6,44,43,000","6,97,94,000"
Equity and other investments,"1,06,85,000","81,51,000","88,74,000","71,03,000"
Goodwill,"13,10,12,000","11,69,80,000","11,75,84,000","12,57,96,000"
Intangible assets,"1,63,62,000","1,37,62,000","1,81,13,000","1,59,22,000"
Other long-term assets,"74,00,000","95,49,000","39,38,000","4,28,000"
Total non-current assets,"29,72,11,000","26,12,65,000","25,44,84,000","25,46,18,000"
Total assets,"81,70,62,000","83,31,71,000","76,06,40,000","79,35,16,000"
Current debt,"7,32,02,000","7,10,99,000","9,29,91,000","12,28,01,000"
Accounts payable,"2,70,53,000","2,85,27,000","2,44,06,000","2,34,52,000"
Accrued liabilities,"5,10,76,000","5,97,77,000","4,56,32,000","4,20,34,000"
Deferred revenues,"2,02,39,000","2,61,29,000","1,90,40,000","1,85,44,000"
Other current liabilities,"1,35,64,000","85,74,000","1,26,88,000","74,29,000"
Total current liabilities,"21,63,93,000","21,43,50,000","21,35,07,000","22,95,43,000"
Long-term debt,"48,40,000","2,83,68,000","4,52,68,000","1,96,11,000"
Deferred tax liabilities,"28,25,000","34,17,000","30,59,000","66,14,000"
Other long-term liabilities,"39,21,000","31,75,000","24,39,000","12,65,000"
Total non-current liabilities,"4,13,36,000","4,80,68,000","6,17,87,000","4,12,78,000"
Total liabilities,"25,77,29,000","26,24,18,000","27,52,94,000","27,08,21,000"
Common stock,"1,14,27,000","1,20,68,000","90,48,000","48,61,000"
Retained earnings,"51,99,07,000","53,47,00,000","45,32,65,000","49,09,30,000"
Total stockholders' equity,"55,74,58,000","56,81,16,000","48,29,36,000","52,03,04,000"
Total liabilities and stockholders' equity,"81,70,62,000","83,31,71,000","76,06,40,000","79,35,16,000"
