,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"61,02,32,000","61,02,32,000","58,58,45,000","54,48,71,000","55,04,02,000"
Cost of revenue,"43,60,85,000","43,60,85,000","41,30,33,000","38,55,75,000","39,15,44,000"
Gross profit,"17,41,47,000","17,41,47,000","17,28,12,000","15,92,96,000","15,88,58,000"
Selling general and administrative,"6,91,91,000","6,91,91,000","7,57,49,000","7,19,81,000","6,41,79,000"
Total operating expenses,"7,15,86,000","7,15,86,000","7,61,17,000","7,64,90,000","6,87,56,000"
Operating income or loss,"10,25,61,000","10,25,61,000","9,66,95,000","8,28,06,000","9,01,02,000"
Interest expense,"51,36,000","51,36,000","56,16,000","34,51,000","19,16,000"
Total other income/expenses net,"33,23,000","33,23,000","40,75,000","53,13,000","48,63,000"
Income before tax,"12,25,12,000","12,25,12,000","11,54,15,000","10,24,74,000","11,03,56,000"
Income tax expense,"2,47,99,000","2,47,99,000","2,52,42,000","2,23,90,000","2,52,13,000"
Income from continuing operations,"9,77,13,000","9,77,13,000","9,01,73,000","8,00,84,000","8,51,43,000"
Net income,"9,72,18,000","9,72,18,000","9,00,31,000","8,00,81,000","8,48,95,000"
Net income available to common shareholders,"9,72,18,000","9,72,18,000","9,00,31,000","8,00,81,000","8,48,95,000"
Basic EPS,-,16.67,14.99,12.65,13.11
Diluted EPS,-,16.62,14.95,12.62,13.07
Basic average shares,-,"58,33,384","60,07,377","63,33,390","64,76,106"
Diluted average shares,-,"58,47,823","60,22,304","63,44,481","64,95,128"
EBITDA,-,"14,85,10,000","14,05,05,000","12,70,49,000","13,53,79,000"
