,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,161.55,162.46,159.35,159.87,110.74,"45,52,938"
08-Apr-2010,160.88,163.10,159.75,161.27,111.71,"27,90,418"
07-Apr-2010,162.00,162.00,159.07,160.82,111.40,"35,55,853"
06-Apr-2010,163.13,163.35,159.83,160.92,111.47,"20,53,320"
05-Apr-2010,162.68,163.53,160.44,162.48,112.55,"17,34,400"
01-Apr-2010,159.98,163.24,159.30,162.30,112.43,"28,57,289"
31-Mar-2010,157.95,159.73,157.37,159.06,110.18,"79,14,893"
30-Mar-2010,159.75,161.77,156.45,157.86,109.35,"73,68,733"
29-Mar-2010,161.55,162.68,159.64,161.01,111.53,"29,24,733"
26-Mar-2010,163.35,164.06,160.26,161.44,111.83,"26,77,902"
25-Mar-2010,160.88,163.13,159.75,161.81,112.08,"46,89,884"
23-Mar-2010,162.00,165.35,161.58,162.06,112.26,"26,57,947"
22-Mar-2010,161.93,165.22,160.88,163.80,113.46,"22,36,427"
19-Mar-2010,164.68,165.62,162.92,163.46,113.23,"23,65,529"
18-Mar-2010,167.63,168.75,162.95,164.01,113.61,"24,29,484"
17-Mar-2010,165.15,166.95,164.23,166.30,115.19,"30,13,787"
16-Mar-2010,164.48,165.39,162.51,163.73,113.42,"34,53,458"
15-Mar-2010,160.88,164.48,159.30,163.95,113.57,"59,55,618"
12-Mar-2010,160.83,161.30,159.16,159.76,110.67,"42,57,764"
11-Mar-2010,157.95,160.65,157.27,159.62,110.57,"50,08,733"
10-Mar-2010,157.95,159.28,156.06,156.67,108.52,"23,38,164"
09-Mar-2010,157.95,160.31,157.50,157.96,109.42,"32,98,618"
08-Mar-2010,154.57,158.55,154.32,156.98,108.74,"36,81,809"
05-Mar-2010,156.38,157.73,153.69,154.32,106.89,"28,76,893"
04-Mar-2010,156.94,157.66,155.14,156.09,108.13,"41,68,920"
03-Mar-2010,158.63,159.30,155.78,157.16,108.87,"37,64,849"
02-Mar-2010,151.88,158.18,151.88,157.78,109.29,"47,61,960"
26-Feb-2010,151.00,154.82,149.63,152.44,105.59,"32,47,853"
25-Feb-2010,152.32,153.45,149.66,150.62,104.33,"42,69,493"
24-Feb-2010,152.55,153.21,150.47,151.24,104.77,"36,30,827"
23-Feb-2010,150.05,152.82,148.73,152.18,105.41,"24,59,991"
22-Feb-2010,150.07,153.11,149.67,150.33,104.14,"19,73,027"
19-Feb-2010,148.95,151.31,148.05,149.80,103.77,"64,04,004"
18-Feb-2010,151.88,152.32,149.42,150.28,104.10,"21,61,884"
17-Feb-2010,153.00,153.00,148.96,151.07,104.64,"36,95,671"
16-Feb-2010,148.73,150.86,147.21,150.74,104.42,"28,45,587"
15-Feb-2010,147.15,149.85,147.15,148.48,102.85,"27,90,716"
11-Feb-2010,147.00,149.01,146.25,147.53,102.20,"21,29,084"
10-Feb-2010,148.50,149.40,144.98,145.73,100.95,"34,18,396"
09-Feb-2010,142.20,148.12,142.20,147.22,101.98,"44,44,107"
08-Feb-2010,144.79,146.25,141.78,143.15,99.16,"47,41,551"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,142.90,147.16,142.90,144.91,100.38,"63,12,529"
04-Feb-2010,149.85,151.09,146.48,147.42,102.12,"32,85,840"
03-Feb-2010,147.40,151.63,146.93,151.12,104.68,"34,21,169"
02-Feb-2010,154.80,156.15,146.48,146.97,101.81,"41,60,978"
