,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,4,2,32,32
Avg. Estimate,20.48B,19.02B,77.54B,88.36B
Low estimate,18.87B,18.76B,70.23B,79.43B
High estimate,21.31B,19.27B,81.73B,94.07B
Year ago EPS,3.35,2.4,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,18.38B,17.25B,66.86B,77.54B
Sales growth (year/est),11.40%,10.20%,16.00%,13.90%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,4.27,2.67,3.88,4.28
Actual EPS,3.35,2.4,3.4,4.03
Difference,-0.92,-0.27,-0.48,-0.25
Surprise %,-21.50%,-10.10%,-12.40%,-5.80%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,4.35,3.82,16.31,19.18
30 days ago,4.35,3.82,16.31,19.18
60 days ago,4.35,3.82,16.31,19.18
90 days ago,4.35,3.82,16.31,19.18
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,1,1,1,N/A
Up last 30 days,1,1,1,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,1
Growth estimates,ZEEL.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),16.50%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
