,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"96,77,000","93,45,000","2,51,16,000"
Other short-term investments,"1,10,81,000","2,04,45,000","1,28,68,000"
Total cash,"2,07,58,000","2,97,90,000","3,79,84,000"
Net receivables,"1,82,74,000","1,53,65,000","1,30,59,000"
Inventory,"3,85,05,000","2,62,78,000","1,68,43,000"
Other current assets,"7,14,000","7,33,000",-
Total current assets,"10,33,39,000","8,59,00,000","8,09,41,000"
"Gross property, plant and equipment","1,29,99,000","1,14,04,000","99,30,000"
Accumulated depreciation,"-59,57,000","-46,19,000","-36,29,000"
"Net property, plant and equipment","70,42,000","67,85,000","63,01,000"
Goodwill,"52,52,000","54,67,000","26,76,000"
Intangible assets,"18,61,000","18,73,000","7,44,000"
Total non-current assets,"2,59,91,000","2,53,97,000","1,94,26,000"
Total assets,"12,93,30,000","11,12,97,000","10,03,67,000"
Current debt,"38,69,000","38,23,000","38,15,000"
Accounts payable,"1,48,97,000","1,14,97,000","48,91,000"
Total current liabilities,"3,11,69,000","2,31,94,000","1,77,50,000"
Long-term debt,"74,29,000","1,14,52,000","1,52,73,000"
Deferred revenues,-,-,0
Total non-current liabilities,"87,79,000","1,23,44,000","1,60,40,000"
Total liabilities,"3,99,48,000","3,55,38,000","3,37,90,000"
Common stock,"9,60,000","9,60,000","9,60,000"
Retained earnings,"7,59,01,000","6,80,03,000","6,29,01,000"
Total stockholders' equity,"8,92,39,000","7,56,17,000","6,65,67,000"
Total liabilities and stockholders' equity,"12,93,30,000","11,12,97,000","10,03,67,000"
