,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"1,58,49,000","1,56,71,000","1,47,91,000","2,22,17,000"
Depreciation & amortisation,-,"23,47,000","18,21,000","11,52,000"
Stock-based compensation,-,"12,000","6,000",-
Change in working capital,-,"-1,71,51,000","-85,51,000","-56,70,000"
Inventory,-,"-1,15,42,000","-93,59,000","-36,63,000"
Other working capital,-,"-14,71,000","29,54,000","39,22,000"
Other non-cash items,-,"-8,94,000","-31,11,000","-10,33,000"
Net cash provided by operating activities,-,"13,52,000","55,44,000","66,90,000"
"Investments in property, plant and equipment",-,"-28,23,000","-25,90,000","-27,68,000"
"Acquisitions, net",-,0,"-20,15,000","-1,14,000"
Purchases of investments,-,"-3,03,65,000","-6,30,27,000","-5,59,89,000"
Sales/maturities of investments,-,"4,05,39,000","5,58,59,000","5,30,14,000"
Other investing activities,-,-,-,"20,000"
Net cash used for investing activities,-,"86,63,000","-1,04,97,000","1,39,68,000"
Net change in cash,-,"3,51,000","-1,58,55,000","1,65,20,000"
Cash at beginning of period,-,"93,45,000","2,51,16,000","85,96,000"
Cash at end of period,-,"96,77,000","93,45,000","2,51,16,000"
Operating cash flow,-,"13,52,000","55,44,000","66,90,000"
Capital expenditure,-,"-28,23,000","-25,90,000","-27,68,000"
Free cash flow,-,"-14,71,000","29,54,000","39,22,000"
